Key,Item Type,Publication Year,Author,Citation,Title,Included in ZooTraits,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
V6LF7EEC,journalArticle,2021,"Castillo-Figueroa, Dennis; Pérez-Torres, Jairo","Castillo-Figueroa & Pérez-Torres, 2021",On the development of a trait-based approach for studying Neotropical bats,no,Papéis Avulsos de Zoologia,,0031-1049,10.11606/1807-0205/2021.61.24,http://dx.doi.org/10.11606/1807-0205/2021.61.24,,2021-02,15/01/2025 21:53,15/01/2025 21:53,,e20216124,,,61,,,,,,,,,,,,,,,,,"Publisher: Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NK4YHTEG,journalArticle,2024,"Gonçalves-Souza, Thiago; Milz, Beatriz; Sanders, Nathan J.; Reich, Peter B.; Maitner, Brian; Chaves, Leonardo S.; Boldorini, Gabriel X.; Ferreira, Natália; Gusmão, Reginaldo A. F.; Perônico, Phamela Bernardes; Teresa, Fabrício B.; Umaña, María Natalia","Gonçalves-Souza et al., 2024",ZooTraits: An R shiny app for exploring animal trait data for ecological and evolutionary research,no,Ecology and Evolution,,2045-7758,10.1002/ece3.11334,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.11334,"Animal trait data are scattered across several datasets, making it challenging to compile and compare trait information across different groups. For plants, the TRY database has been an unwavering success for those ecologists interested in addressing how plant traits influence a wide variety of processes and patterns, but the same is not true for most animal taxonomic groups. Here, we introduce ZooTraits, a Shiny app designed to help users explore and obtain animal trait data for research in ecology and evolution. ZooTraits was developed to tackle the challenge of finding in a single site information of multiple trait datasets and facilitating access to traits by providing an easy-to-use, open-source platform. This app combines datasets centralized in the Open Trait Network, raw data from the AnimalTraits database, and trait information for animals compiled by Gonçalves-Souza et al. (2023, Ecology and Evolution 13, e10016). Importantly, the ZooTraits app can be accessed freely and provides a user-friendly interface through three functionalities that will allow users to easily visualize, compare, download, and upload trait data across the animal tree of life—ExploreTrait, FeedTrait, and GetTrait. By using ExploreTrait and GetTrait, users can explore, compare, and extract 3954 trait records from 23,394 species centralized in the Open Traits Network, and trait data for 2000 species from the AnimalTraits database. The app summarizes trait information for numerous taxonomic groups within the Animal Kingdom, encompassing data from diverse aquatic and terrestrial ecosystems and various geographic regions worldwide. Moreover, ZooTraits enables researchers to upload trait information, serving as a hub for a continually expanding global trait database. By promoting the centralization of trait datasets and offering a platform for data sharing, ZooTraits is facilitating advancements in trait-based ecological and evolutionary studies. We hope that other trait databases will evolve to mirror the approach we have outlined here.",2024,06/09/2024 16:35,06/09/2024 16:35,06/09/2024 16:35,e11334,,5,14,,,ZooTraits,,,,,,,en,© 2024 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.11334,,C:\Users\rober\Zotero\storage\Y7DU24ZJ\Gonçalves-Souza et al. - 2024 - ZooTraits An R shiny app for exploring animal trait data for ecological and evolutionary research.pdf; C:\Users\rober\Zotero\storage\8HAZ79VK\ece3.html,,,animal trait database; Open Science; Raunkiæran shortfall; trait-based ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZL7CJLPS,journalArticle,2021,"Soria, Carmen D.; Pacifici, Michela; Di Marco, Moreno; Stephen, Sarah M.; Rondinini, Carlo","Soria et al., 2021",COMBINE: a coalesced mammal database of intrinsic and extrinsic traits,no,Ecology,,1939-9170,10.1002/ecy.3344,http://dx.doi.org/10.1002/ecy.3344,,2021-05,15/01/2025 21:53,15/01/2025 21:53,,,,6,102,,,,,,,,,,,,,,,,,Publisher: Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8XNXHM9,journalArticle,2023,"Cosentino, Francesca; Castiello, Giorgia; Maiorano, Luigi","Cosentino et al., 2023",A dataset on African bats’ functional traits,no,Scientific Data,,2052-4463,10.1038/s41597-023-02472-w,http://dx.doi.org/10.1038/s41597-023-02472-w,,2023-09,15/01/2025 21:53,15/01/2025 21:53,,,,1,10,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WVVT6NUE,journalArticle,2023,"Froidevaux, Jérémy S. P.; Toshkova, Nia; Barbaro, Luc; Benítez-López, Ana; Kerbiriou, Christian; Le Viol, Isabelle; Pacifici, Michela; Santini, Luca; Stawski, Clare; Russo, Danilo; Dekker, Jasja; Alberdi, Antton; Amorim, Francisco; Ancillotto, Leonardo; Barré, Kévin; Bas, Yves; Cantú-Salazar, Lisette; Dechmann, Dina K. N.; Devaux, Tiphaine; Eldegard, Katrine; Fereidouni, Sasan; Furmankiewicz, Joanna; Hamidovic, Daniela; Hill, Davina L.; Ibáñez, Carlos; Julien, Jean-François; Juste, Javier; Kaňuch, Peter; Korine, Carmi; Laforge, Alexis; Legras, Gaëlle; Leroux, Camille; Lesiński, Grzegorz; Mariton, Léa; Marmet, Julie; Mata, Vanessa A.; Mifsud, Clare M.; Nistreanu, Victoria; Novella-Fernandez, Roberto; Rebelo, Hugo; Roche, Niamh; Roemer, Charlotte; Ruczyński, Ireneusz; Sørås, Rune; Uhrin, Marcel; Vella, Adriana; Voigt, Christian C.; Razgour, Orly","Froidevaux et al., 2023",A species-level trait dataset of bats in Europe and beyond,no,Scientific Data,,2052-4463,10.1038/s41597-023-02157-4,http://dx.doi.org/10.1038/s41597-023-02157-4,,2023-05,15/01/2025 21:53,15/01/2025 21:53,,,,1,10,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYBQEQFT,journalArticle,2021,"Crane, Matt; Silva, Inês; Grainger, Matthew J.; Gale, George A.","Crane et al., 2021",Limitations and gaps in global bat wing morphology trait data,no,Mammal Review,,1365-2907,10.1111/mam.12270,http://dx.doi.org/10.1111/mam.12270,,2021-09,15/01/2025 21:53,15/01/2025 21:53,,165–176,,2,52,,,,,,,,,,,,,,,,,Publisher: Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAX7D2UM,journalArticle,2015,"Myhrvold, Nathan P.; Baldridge, Elita; Chan, Benjamin; Sivam, Dhileep; Freeman, Daniel L.; Ernest, S. K. Morgan","Myhrvold et al., 2015","An amniote life‐history database to perform comparative analyses with birds, mammals, and reptiles: Ecological Archives E096‐269",no,Ecology,,1939-9170,10.1890/15-0846r.1,http://dx.doi.org/10.1890/15-0846R.1,,2015-11,15/01/2025 21:53,15/01/2025 21:53,,3109–3109,,11,96,,,,,,,,,,,,,,,,,Publisher: Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L9LXBH8V,journalArticle,2018,"Gonçalves, Fernando; Bovendorp, Ricardo S.; Beca, Gabrielle; Bello, Carolina; Costa‐Pereira, Raul; Muylaert, Renata L.; Rodarte, Raisa R.; Villar, Nacho; Souza, Rafael; Graipel, Maurício E.; Cherem, Jorge J.; Faria, Deborah; Baumgarten, Julio; Alvarez, Martín R.; Vieira, Emerson M.; Cáceres, Nilton; Pardini, Renata; Leite, Yuri L. R.; Costa, Leonora P.; Mello, Marco A. R.; Fischer, Erich; Passos, Fernando C.; Varzinczak, Luiz H.; Prevedello, Jayme A.; Cruz‐Neto, Ariovaldo P.; Carvalho, Fernando; Percequillo, Alexandre R.; Paviolo, Agustin; Nava, Alessandra; Duarte, José M. B.; de la Sancha, Noé U.; Bernard, Enrico; Morato, Ronaldo G.; Ribeiro, Juliana F.; Becker, Rafael G.; Paise, Gabriela; Tomasi, Paulo S.; Vélez‐Garcia, Felipe; Melo, Geruza L.; Sponchiado, Jonas; Cerezer, Felipe; Barros, Marília A. S.; de Souza, Albérico Q. S.; dos Santos, Cinthya C.; Giné, Gastón A. F.; Kerches‐Rogeri, Patricia; Weber, Marcelo M.; Ambar, Guilherme; Cabrera‐Martinez, Lucía V.; Eriksson, Alan; Silveira, Maurício; Santos, Carolina F.; Alves, Lucas; Barbier, Eder; Rezende, Gabriela C.; Garbino, Guilherme S. T.; Rios, Élson O.; Silva, Adna; Nascimento, Alexandre Túlio A.; de Carvalho, Rodrigo S.; Feijó, Anderson; Arrabal, Juan; Agostini, Ilaria; Lamattina, Daniela; Costa, Sebastian; Vanderhoeven, Ezequiel; de Melo, Fabiano R.; de Oliveira Laroque, Plautino; Jerusalinsky, Leandro; Valença‐Montenegro, Mônica M.; Martins, Amely B.; Ludwig, Gabriela; de Azevedo, Renata B.; Anzóategui, Agustin; da Silva, Marina X.; Figuerêdo Duarte Moraes, Marcela; Vogliotti, Alexandre; Gatti, Andressa; Püttker, Thomas; Barros, Camila S.; Martins, Thais K.; Keuroghlian, Alexine; Eaton, Donald P.; Neves, Carolina L.; Nardi, Marcelo S.; Braga, Caryne; Gonçalves, Pablo R.; Srbek‐Araujo, Ana Carolina; Mendes, Poliana; de Oliveira, João A.; Soares, Fábio A. M.; Rocha, Patrício A.; Crawshaw, Peter; Ribeiro, Milton C.; Galetti, Mauro","Gonçalves et al., 2018",ATLANTIC MAMMAL TRAITS: a data set of morphological traits of mammals in the Atlantic Forest of South America,no,Ecology,,1939-9170,10.1002/ecy.2106,http://dx.doi.org/10.1002/ecy.2106,,2018-02,15/01/2025 21:53,15/01/2025 21:53,,498–498,,2,99,,,,,,,,,,,,,,,,,Publisher: Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XQQZSYFX,journalArticle,2022,"Tanalgo, Krizler C.; Tabora, John Aries G.; de Oliveira, Hernani Fernandes Magalhães; Haelewaters, Danny; Beranek, Chad T.; Otálora-Ardila, Aída; Bernard, Enrico; Gonçalves, Fernando; Eriksson, Alan; Donnelly, Melissa; González, Joel Monzón; Ramos, Humberto Fernández; Rivas, Alberto Clark; Webala, Paul W.; Deleva, Stanimira; Dalhoumi, Ridha; Maula, Jaycelle; Lizarro, Dennis; Aguirre, Luis F.; Bouillard, Nils; Quibod, Ma. Niña Regina M.; Barros, Jennifer; Turcios-Casco, Manfredo Alejandro; Martínez, Marcio; Ordoñez-Mazier, Diego Iván; Orellana, José Alejandro Soler; Ordoñez-Trejo, Eduardo J.; Ordoñez, Danny; Chornelia, Ada; Lu, Jian Mei; Xing, Chen; Baniya, Sanjeev; Muylaert, Renata L.; Dias-Silva, Leonardo Henrique; Ruadreo, Nittaya; Hughes, Alice Catherine","Tanalgo et al., 2022","DarkCideS 1.0, a global database for bats in karsts and caves",no,Scientific Data,,2052-4463,10.1038/s41597-022-01234-4,http://dx.doi.org/10.1038/s41597-022-01234-4,,2022-04,15/01/2025 21:53,15/01/2025 21:53,,,,1,9,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHWL37VC,journalArticle,2002,"Wilkinson, Gerald S.; South, Jason M.","Wilkinson & South, 2002","Life history, ecology and longevity in bats",no,Aging Cell,,1474-9726,10.1046/j.1474-9728.2002.00020.x,http://dx.doi.org/10.1046/j.1474-9728.2002.00020.x,,2002-11,15/01/2025 21:53,15/01/2025 21:53,,124–131,,2,1,,,,,,,,,,,,,,,,,Publisher: Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
