pub_type,authors,year,title,lowercase,includes_bats_in_title,includes_traits_in_title,to_keep,includes_trait_info,directly_available,fully_included_in_another_source,source,publisher,doi,s
journalArticle,"Crane, Matt; Silva, Inês; Grainger, Matthew J.; Gale, George A.",2022,Limitations and gaps in global bat wing morphology trait data,limitations and gaps in global bat wing morphology trait data,yes,yes,NA,NA,NA,NA,Mammal Review,Wiley Online Library,10.1111/mam.12270,auto
journalArticle,"Laforge, Alexis; Archaux, Frédéric; Coulon, Aurélie; Sirami, Clélia; Froidevaux, Jérémy; Gouix, Nicolas; Ladet, Sylvie; Martin, Hilaire; Barré, Kevin; Roemer, Charlotte; Claireau, Fabien; Kerbiriou, Christian; Barbaro, Luc",2021,Landscape composition and life-history traits influence bat movement and space use: Analysis of 30 years of published telemetry data,landscape composition and life history traits influence bat movement and space use analysis of 30 years of published telemetry data,yes,yes,NA,NA,NA,NA,Global Ecology and Biogeography,Wiley Online Library,10.1111/geb.13397,auto
book,"Kunz, Thomas H.; Fenton, M. Brock",2005,Bat Ecology,bat ecology,yes,no,NA,NA,NA,NA,NA,Google Books,NA,auto
journalArticle,"Jung, Kirsten; Threlfall, Caragh Grace",2018,Trait-dependent tolerance of bats to urbanization: a global meta-analysis,trait dependent tolerance of bats to urbanization a global meta analysis,yes,yes,NA,NA,NA,NA,Proceedings of the Royal Society B: Biological Sciences,royalsocietypublishing.org (Atypon),10.1098/rspb.2018.1222,auto
journalArticle,"Cosentino, Francesca; Castiello, Giorgia; Maiorano, Luigi",2023,A dataset on African bats’ functional traits,a dataset on african bats functional traits,yes,yes,NA,NA,NA,NA,Scientific Data,www.nature.com,10.1038/s41597-023-02472-w,auto
journalArticle,"Castillo-Figueroa, Dennis; Pérez-Torres, Jairo",2021,On the development of a trait-based approach for studying Neotropical bats,on the development of a trait based approach for studying neotropical bats,yes,yes,NA,NA,NA,NA,Papéis Avulsos de Zoologia,SciELO,https://doi.org/10.11606/1807-0205/2021.61.24,auto
journalArticle,"Brunet-Rossinni, Anja K.; Austad, Steven N.",2004,Ageing Studies on Bats: A Review,ageing studies on bats a review,yes,no,NA,NA,NA,NA,Biogerontology,Springer Link,10.1023/B:BGEN.0000038022.65024.d8,auto
journalArticle,"Froidevaux, Jérémy S. P.; Toshkova, Nia; Barbaro, Luc; Benítez-López, Ana; Kerbiriou, Christian; Le Viol, Isabelle; Pacifici, Michela; Santini, Luca; Stawski, Clare; Russo, Danilo; Dekker, Jasja; Alberdi, Antton; Amorim, Francisco; Ancillotto, Leonardo; Barré, Kévin; Bas, Yves; Cantú-Salazar, Lisette; Dechmann, Dina K. N.; Devaux, Tiphaine; Eldegard, Katrine; Fereidouni, Sasan; Furmankiewicz, Joanna; Hamidovic, Daniela; Hill, Davina L.; Ibáñez, Carlos; Julien, Jean-François; Juste, Javier; Kaňuch, Peter; Korine, Carmi; Laforge, Alexis; Legras, Gaëlle; Leroux, Camille; Lesiński, Grzegorz; Mariton, Léa; Marmet, Julie; Mata, Vanessa A.; Mifsud, Clare M.; Nistreanu, Victoria; Novella-Fernandez, Roberto; Rebelo, Hugo; Roche, Niamh; Roemer, Charlotte; Ruczyński, Ireneusz; Sørås, Rune; Uhrin, Marcel; Vella, Adriana; Voigt, Christian C.; Razgour, Orly",2023,A species-level trait dataset of bats in Europe and beyond,a species level trait dataset of bats in europe and beyond,yes,yes,NA,NA,NA,NA,Scientific Data,www.nature.com,10.1038/s41597-023-02157-4,auto
journalArticle,"FREEMAN, PATRICIA W.",1984,Functional cranial analysis of large animalivorous bats (Microchiroptera),functional cranial analysis of large animalivorous bats (microchiroptera),yes,no,NA,NA,NA,NA,Biological Journal of the Linnean Society,Silverchair,10.1111/j.1095-8312.1984.tb01601.x,auto
journalArticle,"Norberg, Ulla M.; Rayner, J. M. V.; Lighthill, Michael James",1997,"Ecological morphology and flight in bats (Mammalia; Chiroptera): wing adaptations, flight performance, foraging strategy and echolocation","ecological morphology and flight in bats (mammalia chiroptera) wing adaptations, flight performance, foraging strategy and echolocation",yes,no,NA,NA,NA,NA,"Philosophical Transactions of the Royal Society of London. B, Biological Sciences",royalsocietypublishing.org (Atypon),10.1098/rstb.1987.0030,auto
journalArticle,"Vaughan, Terry A.",1966,Morphology and Flight Characteristics of Molossid Bats,morphology and flight characteristics of molossid bats,yes,no,NA,NA,NA,NA,Journal of Mammalogy,Silverchair,10.2307/1378121,auto
