Title,includes_bats_in_title,includes_traits_in_title,to_keep,includes_trait_info,directly_available,fully_included_in_another_source,pub_type,Year,Source,Publisher,Type,DOI,ISSN,Volume,Issue,phase
A dataset on African bats' functional traits,yes,yes,yes,yes,yes,no,database,2023,Scientific Data,nature.com,HTML,10.1038/s41597-023-02472-w,NA,NA,NA,first_phase
Trait-dependent tolerance of bats to urbanization: a global meta-analysis,yes,yes,yes,yes,yes,no,review,2018,Proceedings of the Royal Society …,royalsocietypublishing.org,NA,10.1098/rspb.2018.1222,NA,NA,NA,first_phase
Urban affinity and its associated traits: A global analysis of bats,yes,yes,yes,yes,yes,no,article,2022,Global Change …,Wiley Online Library,NA,10.1111/gcb.16320,NA,NA,NA,first_phase
"Bat functional traits associated with environmental, landscape, and conservation variables in Neotropical dry forests",yes,yes,no,yes,yes,no,article,2023,Frontiers in Forests …,frontiersin.org,HTML,10.3389/ffgc.2023.1082427,NA,NA,NA,first_phase
Global patterns of functional trait variation along aridity gradients in bats,yes,yes,yes,yes,yes,no,article,2021,Global Ecology and …,Wiley Online Library,NA,10.1111/geb.13278,NA,NA,NA,first_phase
Why bats matters: a critical assessment of bat-mediated ecological processes in the Neotropics,yes,no,yes,yes,no,no,review,2020,european Journal of ecology,journals.ku.edu,NA,10.17161/eurojecol.v6i1.13824 ,NA,NA,NA,first_phase
"Spatial and land‐use determinants of bat species richness, functional diversity, and site uniqueness throughout the largest Tropical country, Brazil",yes,no,no,,,,,2022,Mammal Review,Wiley Online Library,NA,10.1111/mam.12279,NA,NA,NA,first_phase
"African bat database: curated data of occurrences, distributions and conservation metrics for sub-Saharan bats",yes,no,yes,yes,yes,no,database,2024,Scientific Data,nature.com,HTML,10.1038/s41597-024-04170-7,NA,NA,NA,first_phase
"Skin and fur bacterial diversity and community structure on American southwestern bats: effects of habitat, geography and bat traits",yes,yes,no,,,,,2017,PeerJ,peerj.com,HTML,NA,NA,NA,NA,first_phase
A meta-analysis exploring associations between habitat degradation and Neotropical bat virus prevalence and seroprevalence,yes,no,yes,yes,yes,no,review,2023,Ecography,Wiley Online Library,NA,10.1111/ecog.07041,NA,NA,NA,first_phase
Drivers of bat roles in Neotropical seed dispersal networks: abundance is more important than functional traits,yes,yes,yes,yes,yes,no,review,2020,Oecologia,Springer,NA,10.1007/s00442-020-04662-4,NA,NA,NA,first_phase
On the development of a trait-based approach for studying Neotropical bats,yes,yes,yes,no,yes,,review,2021,Papéis Avulsos de Zoologia,SciELO Brasil,HTML,NA,NA,NA,NA,first_phase
A global synthesis of survival estimates for microbats,yes,no,yes,yes,yes,no,review,2015,Biology …,royalsocietypublishing.org,NA,10.1098/rsbl.2015.0371,NA,NA,NA,first_phase
Functional diversity and trait-environment relationships of bat assemblages in an Amazonian forest-savannah mosaic,yes,yes,no,,,,,2024,Biodiversity and …,Springer,NA,10.1007/s10531-024-02880-3,NA,NA,NA,first_phase
Taxonomic and functional responses of bats to habitat flooding by an Amazonian mega-dam,yes,no,no,,,,,2022,Biodiversity and …,Springer,NA,10.1007/s10531-022-02396-8,NA,NA,NA,first_phase
Functional diversity and trait filtering of insectivorous bats on forest islands created by an Amazonian mega dam,yes,yes,no,,,,,2023,Functional …,Wiley Online Library,NA,10.1111/1365-2435.14118,NA,NA,NA,first_phase
Does seed ingestion by bats enhance germination? A new meta-analysis 15 years later,yes,no,yes,yes,yes,no,review,2019,Mammal …,Wiley Online Library,NA,10.1111/mam.12153,NA,NA,NA,first_phase
"Taxonomic, functional and phylogenetic bat diversity decrease from more to less complex natural habitats in the Amazon",yes,no,no,,,,,2021,Oecologia,Springer,NA,10.1007/s00442-021-05009-3,NA,NA,NA,first_phase
Cerrado bat community assembly is determined by both present day and historical factors,yes,no,yes,yes,yes,no,review,2024,Journal of Biogeography,Wiley Online Library,NA,10.1111/jbi.14798,NA,NA,NA,first_phase
Trait‐based functional dietary analysis provides a better insight into the foraging ecology of bats,yes,yes,no,,,,,2019,Journal of Animal …,Wiley Online Library,NA,10.1111/1365-2656.13055,NA,NA,NA,first_phase
Effects of pine forest management practices on bat functional traits in a subtropical region,yes,yes,no,,,,,2021,Acta …,ingentaconnect.com,NA,10.3161/15081109ACC2021.23.2.012,NA,NA,NA,first_phase
Six reference-quality genomes reveal evolution of bat adaptations,yes,no,yes,yes,yes,no,article,2020,Nature,nature.com,HTML,10.1038/s41586-020-2486-3,NA,NA,NA,first_phase
Drivers of European bat population change: a review reveals evidence gaps,yes,no,yes,yes,yes,no,review,2021,Mammal …,Wiley Online Library,NA,10.1111/mam.12239,NA,NA,NA,first_phase
BATScan: A radar classification tool reveals large-scale bat migration patterns,yes,no,no,yes,yes,,article,2023,Methods in Ecology and …,Wiley Online Library,NA,10.1111/2041-210X.14125,NA,NA,NA,first_phase
Trait‐related responses to habitat fragmentation in Amazonian bats,yes,yes,no,,,,,2015,Journal of Applied …,Wiley Online Library,NA,10.1111/1365-2664.12490,NA,NA,NA,first_phase
Functional diversity and trait filtering of insectivorous bats relate to forest biogeography and fragmentation in South Africa,yes,yes,no,,,,,2021,Journal of …,Wiley Online Library,NA,10.1111/jbi.14069,NA,NA,NA,first_phase
Trait-mediated filtering predicts phyllostomid bat responses to habitat disturbance in the Orinoco Llanos,yes,yes,no,,,,,2024,Biodiversity and …,Springer,NA,10.1007/s10531-024-02792-2,NA,NA,NA,first_phase
Design and applicability of DNA arrays and DNA barcodes in biodiversity monitoring,no,no,yes,yes,yes,no,article,2007,BMC biology,Springer,HTML,10.1186/1741-7007-5-24,NA,NA,NA,first_phase
The influence of bat ecology on viral diversity and reservoir status,yes,no,yes,yes,yes,no,review,2020,Ecology and Evolution,Wiley Online Library,NA,10.1002/ece3.6315,NA,NA,NA,first_phase
Bats in a changing landscape: Linking occupancy and traits of a diverse montane bat community to fire regime,yes,yes,no,,,,,2019,Ecology and …,Wiley Online Library,NA,10.1002/ece3.5121,NA,NA,NA,first_phase
Bats in the Ghats: Agricultural intensification reduces functional diversity and increases trait filtering in a biodiversity hotspot in India,yes,yes,no,,,,,2017,Biological …,Elsevier,HTML,NA,NA,NA,NA,first_phase
Non-auditory Defences of Prey Against Bat Predation,yes,no,no,,,,,2016,Predator–Prey Interactions …,Springer,NA,10.1007/978-3-319-32492-0_3,NA,NA,NA,first_phase
Predator-prey traits and foraging habitat shape the diet of a common insectivorous bat,yes,yes,no,,,,,2023,Acta Oecologica,Elsevier,HTML,NA,NA,NA,NA,first_phase
The role of forest structure and composition in driving the distribution of bats in Mediterranean regions,yes,no,yes,yes,yes,no,article,2022,Scientific Reports,nature.com,HTML,10.1038/s41598-022-07229-w,NA,NA,NA,first_phase
The evolution of anti-bat sensory illusions in moths,yes,no,no,,,,,2018,Science …,science.org,NA,10.1126/sciadv.aar7428,NA,NA,NA,first_phase
Seasonally dry tropical forests: new insights for their knowledge and conservation,no,no,no,,,,,2024,Frontiers in Forests …,frontiersin.org,HTML,10.3389/ffgc.2023.1350375,NA,NA,NA,first_phase
