Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ERAFRJQB,journalArticle,2022,"Tanalgo, Krizler C.; Tabora, John Aries G.; De Oliveira, Hernani Fernandes Magalhães; Haelewaters, Danny; Beranek, Chad T.; Otálora-Ardila, Aída; Bernard, Enrico; Gonçalves, Fernando; Eriksson, Alan; Donnelly, Melissa; González, Joel Monzón; Ramos, Humberto Fernández; Rivas, Alberto Clark; Webala, Paul W.; Deleva, Stanimira; Dalhoumi, Ridha; Maula, Jaycelle; Lizarro, Dennis; Aguirre, Luis F.; Bouillard, Nils; Quibod, Ma. Niña Regina M.; Barros, Jennifer; Turcios-Casco, Manfredo Alejandro; Martínez, Marcio; Ordoñez-Mazier, Diego Iván; Orellana, José Alejandro Soler; Ordoñez-Trejo, Eduardo J.; Ordoñez, Danny; Chornelia, Ada; Lu, Jian Mei; Xing, Chen; Baniya, Sanjeev; Muylaert, Renata L.; Dias-Silva, Leonardo Henrique; Ruadreo, Nittaya; Hughes, Alice Catherine","DarkCideS 1.0, a global database for bats in karsts and caves",Scientific Data,,2052-4463,10.1038/s41597-022-01234-4,https://www.nature.com/articles/s41597-022-01234-4,"Abstract                            Understanding biodiversity patterns as well as drivers of population declines, and range losses provides crucial baselines for monitoring and conservation. However, the information needed to evaluate such trends remains unstandardised and sparsely available for many taxonomic groups and habitats, including the cave-dwelling bats and cave ecosystems. We developed the DarkCideS 1.0 (               https://darkcides.org/               ), a global database of bat caves and species synthesised from publicly available information and datasets. The DarkCideS 1.0 is by far the largest database for cave-dwelling bats, which contains information for geographical location, ecological status, species traits, and parasites and hyperparasites for 679 bat species are known to occur in caves or use caves in part of their life histories. The database currently contains 6746 georeferenced occurrences for 402 cave-dwelling bat species from 2002 cave sites in 46 countries and 12 terrestrial biomes. The database has been developed to be collaborative and open-access, allowing continuous data-sharing among the community of bat researchers and conservation biologists to advance bat research and comparative monitoring and prioritisation for conservation.",05/04/2022,10/10/2024 18:01,10/10/2024 18:01,10/10/2024 18:01,155,,1,9,,Sci Data,,,,,,,,en,,,,,DOI.org (Crossref),,,,"C:\Users\rober\Zotero\storage\RZM5ZCVT\Tanalgo et al. - 2022 - DarkCideS 1.0, a global database for bats in karsts and caves.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJQF7WIL,journalArticle,2023,"Froidevaux, Jérémy S. P.; Toshkova, Nia; Barbaro, Luc; Benítez-López, Ana; Kerbiriou, Christian; Le Viol, Isabelle; Pacifici, Michela; Santini, Luca; Stawski, Clare; Russo, Danilo; Dekker, Jasja; Alberdi, Antton; Amorim, Francisco; Ancillotto, Leonardo; Barré, Kévin; Bas, Yves; Cantú-Salazar, Lisette; Dechmann, Dina K. N.; Devaux, Tiphaine; Eldegard, Katrine; Fereidouni, Sasan; Furmankiewicz, Joanna; Hamidovic, Daniela; Hill, Davina L.; Ibáñez, Carlos; Julien, Jean-François; Juste, Javier; Kaňuch, Peter; Korine, Carmi; Laforge, Alexis; Legras, Gaëlle; Leroux, Camille; Lesiński, Grzegorz; Mariton, Léa; Marmet, Julie; Mata, Vanessa A.; Mifsud, Clare M.; Nistreanu, Victoria; Novella-Fernandez, Roberto; Rebelo, Hugo; Roche, Niamh; Roemer, Charlotte; Ruczyński, Ireneusz; Sørås, Rune; Uhrin, Marcel; Vella, Adriana; Voigt, Christian C.; Razgour, Orly",A species-level trait dataset of bats in Europe and beyond,Scientific Data,,2052-4463,10.1038/s41597-023-02157-4,https://www.nature.com/articles/s41597-023-02157-4,"Knowledge of species’ functional traits is essential for understanding biodiversity patterns, predicting the impacts of global environmental changes, and assessing the efficiency of conservation measures. Bats are major components of mammalian diversity and occupy a variety of ecological niches and geographic distributions. However, an extensive compilation of their functional traits and ecological attributes is still missing. Here we present EuroBaTrait 1.0, the most comprehensive and up-to-date trait dataset covering 47 European bat species. The dataset includes data on 118 traits including genetic composition, physiology, morphology, acoustic signature, climatic associations, foraging habitat, roost type, diet, spatial behaviour, life history, pathogens, phenology, and distribution. We compiled the bat trait data obtained from three main sources: (i) a systematic literature and dataset search, (ii) unpublished data from European bat experts, and (iii) observations from large-scale monitoring programs. EuroBaTrait is designed to provide an important data source for comparative and trait-based analyses at the species or community level. The dataset also exposes knowledge gaps in species, geographic and trait coverage, highlighting priorities for future data collection.",03/05/2023,15/01/2024 15:53,10/10/2024 17:40,15/01/2024 15:53,253,,1,10,,Sci Data,,,,,,,,en,2023 The Author(s),,,,www.nature.com,,Number: 1 Publisher: Nature Publishing Group,,C:\Users\rober\Zotero\storage\BDHC7RA9\Froidevaux et al. - 2023 - A species-level trait dataset of bats in Europe and beyond.pdf; C:\Users\rober\Zotero\storage\MR2XTGPV\Froidevaux et al. - 2023 - A species-level trait dataset of bats in Europe an.pdf,,,Ecology; Zoology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADQURN9J,journalArticle,2023,"Cosentino, Francesca; Castiello, Giorgia; Maiorano, Luigi",A dataset on African bats’ functional traits,Scientific Data,,2052-4463,10.1038/s41597-023-02472-w,https://www.nature.com/articles/s41597-023-02472-w,"Trait-based approaches are becoming extremely common in ecological modeling and the availability of traits databases is increasing. However, data availability is often biased towards particular regions and taxa, with many taxa (e.g., bats) often under-represented. Here, we present the AfroBaT dataset, a compilation of trait data on 320 African bat species containing 76,914 values for 86 traits focusing on morphology, reproduction, life-history, trophic ecology, and species distributions. All data were gathered from published literature following the ecological trait-data standard procedure. Missing data for both numerical and categorical traits were imputed with a machine learning approach including species phylogeny. Trophic ecology traits showed the highest coverage in the literature (72% of the species averaged over all traits), while reproductive traits the lowest. Our data imputation improved the coverage of AfroBaT especially for reproductive traits, going from 27% to 58% of the species covered. AfroBaT has a range of potential applications in macroecology and community ecology, and the availability of open-access data on African bats will enable collaboration and data-sharing among researchers.",14/09/2023,15/01/2024 15:55,10/10/2024 17:40,15/01/2024 15:55,623,,1,10,,Sci Data,,,,,,,,en,2023 The Author(s),,,,www.nature.com,,Number: 1 Publisher: Nature Publishing Group,,C:\Users\rober\Zotero\storage\MBLIJVTQ\Cosentino et al. - 2023 - A dataset on African bats’ functional traits.pdf; C:\Users\rober\Zotero\storage\9AWM865C\Cosentino et al. - 2023 - A dataset on African bats’ functional traits.pdf,,,Biodiversity; Ecological modelling; Macroecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJWP5EGJ,journalArticle,2022,"Van De Vuurst, Paige; Díaz, M. Mónica; Rodríguez-San Pedro, Annia; Allendes, Juan Luis; Brown, Natalie; Gutiérrez, Juan David; Zarza, Heliot; De Oliveira, Stefan V.; Cárdenas-Canales, Elsa; Barquez, Rubén M.; Escobar, Luis E.",A database of common vampire bat reports,Scientific Data,,2052-4463,10.1038/s41597-022-01140-9,https://www.nature.com/articles/s41597-022-01140-9,"Abstract                            The common vampire bat (               Desmodus rotundus               ) is a sanguivorous (i.e., blood-eating) bat species distributed in the Americas from northern Mexico southwards to central Chile and Argentina.               Desmodus rotundus               is one of only three mammal species known to feed exclusively on blood, mainly from domestic mammals, although large wildlife and occasionally humans can also serve as a food source. Blood feeding makes               D. rotundus               an effective transmissor of pathogens to its prey. Consequently, this species is a common target of culling efforts by various individuals and organizations. Nevertheless, little is known about the historical distribution of               D. rotundus               . Detailed occurrence data are critical for the accurate assessment of past and current distributions of               D. rotundus               as part of ecological, biogeographical, and epidemiological research. This article presents a dataset of               D. rotundus               historical occurrence reports, including >39,000 locality reports across the Americas to facilitate the development of spatiotemporal studies of the species. Data are available at               https://doi.org/10.6084/m9.figshare.15025296               .",16/02/2022,09/01/2024 23:24,09/01/2024 23:24,09/01/2024 23:24,57,,1,9,,Sci Data,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\rober\Zotero\storage\7WHPHD2H\Van De Vuurst et al. - 2022 - A database of common vampire bat reports.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YCAGC95,journalArticle,2014,"Chen, Lihong; Liu, Bo; Yang, Jian; Jin, Qi",DBatVir: the database of bat-associated viruses,Database,,1758-0463,10.1093/database/bau021,https://doi.org/10.1093/database/bau021,"Emerging infectious diseases remain a significant threat to public health. Most emerging infectious disease agents in humans are of zoonotic origin. Bats are important reservoir hosts of many highly lethal zoonotic viruses and have been implicated in numerous emerging infectious disease events in recent years. It is essential to enhance our knowledge and understanding of the genetic diversity of the bat-associated viruses to prevent future outbreaks. To facilitate further research, we constructed the database of bat-associated viruses (DBatVir). Known viral sequences detected in bat samples were manually collected and curated, along with the related metadata, such as the sampling time, location, bat species and specimen type. Additional information concerning the bats, including common names, diet type, geographic distribution and phylogeny were integrated into the database to bridge the gap between virologists and zoologists. The database currently covers &gt;4100 bat-associated animal viruses of 23 viral families detected from 196 bat species in 69 countries worldwide. It provides an overview and snapshot of the current research regarding bat-associated viruses, which is essential now that the field is rapidly expanding. With a user-friendly interface and integrated online bioinformatics tools, DBatVir provides a convenient and powerful platform for virologists and zoologists to analyze the virome diversity of bats, as well as for epidemiologists and public health researchers to monitor and track current and future bat-related infectious diseases.Database URL:http://www.mgc.ac.cn/DBatVir/",01/01/2014,14/11/2024 20:53,14/11/2024 20:53,14/11/2024 20:53,bau021,,,2014,,Database,DBatVir,,,,,,,,,,,,Silverchair,,,,C:\Users\rober\Zotero\storage\JX654EL8\Chen et al. - 2014 - DBatVir the database of bat-associated viruses.pdf; C:\Users\rober\Zotero\storage\529WPPE5\2633820.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA657JJP,journalArticle,2014,"Noguera-Urbano, Elkin A.; Escalante, Tania",Geographic data for Neotropical bats (Chiroptera),Revista de Biología Tropical,,0034-7744,,http://www.scielo.sa.cr/scielo.php?script=sci_abstract&pid=S0034-77442014000200017&lng=en&nrm=iso&tlng=es,,2014-03,14/11/2024 20:55,14/11/2024 20:55,14/11/2024 20:55,211-225,,1,62,,,,,,,,,,en,,,,,SciELO,,,,C:\Users\rober\Zotero\storage\38ZRPF54\Noguera-Urbano y Escalante - 2014 - Geographic data for Neotropical bats (Chiroptera).pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y4ELYXVG,journalArticle,2020,"Zamora-Gutierrez, Veronica; Ortega, Jorge; Avila-Flores, Rafael; Aguilar-Rodríguez, Pedro Adrián; Alarcón-Montano, Martín; Avila-Torresagatón, Luis Gerardo; Ayala-Berdón, Jorge; Bolívar-Cimé, Beatriz; Briones-Salas, Miguel; Chan-Noh, Martha; Chávez-Cauich, Manuel; Chávez, Cuauhtémoc; Cortés-Calva, Patricia; Cruzado, Juan; Cuevas, Jesús Carlo; Del Real-Monroy, Melina; Elizalde-Arellano, Cynthia; García-Luis, Margarita; García-Morales, Rodrigo; Guerrero, José Antonio; Guevara-Carrizales, Aldo A.; Gutiérrez, Edgar G.; Hernández-Mijangos, Luis Arturo; Ibarra-López, Martha Pilar; Iñiguez-Dávalos, Luis Ignacio; León-Madrazo, Rafael; López-González, Celia; López-Téllez, M. Concepción; López-Vidal, Juan Carlos; Martínez-Balvanera, Santiago; Montiel-Reyes, Fernando; Murrieta-Galindo, Rene; Orozco-Lugo, Carmen Lorena; Pech-Canché, Juan M.; Pérez-Pérez, Lucio; Ramírez-Martínez, María Magdalena; Rizo-Aguilar, Areli; Robredo-Esquivelzeta, Everardo; Rodas-Martínez, Alba Z.; Rojo-Cruz, Marcial Alejandro; Selem-Salas, Celia Isela; Uribe-Bencomo, Elena; Vargas-Contreras, Jorge A.; MacSwiney G., M. Cristina",The Sonozotz project: Assembling an echolocation call library for bats in a megadiverse country,Ecology and Evolution,,2045-7758,10.1002/ece3.6245,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.6245,"Bat acoustic libraries are important tools that assemble echolocation calls to allow the comparison and discrimination to confirm species identifications. The Sonozotz project represents the first nation-wide library of bat echolocation calls for a megadiverse country. It was assembled following a standardized recording protocol that aimed to cover different recording habitats, recording techniques, and call variation inherent to individuals. The Sonozotz project included 69 species of echolocating bats, a high species richness that represents 50% of bat species found in the country. We include recommendations on how the database can be used and how the sampling methods can be potentially replicated in countries with similar environmental and geographic conditions. To our knowledge, this represents the most exhaustive effort to date to document and compile the diversity of bat echolocation calls for a megadiverse country. This database will be useful to address a range of ecological questions including the effects of anthropogenic activities on bat communities through the analysis of bat sound.",2020,11/01/2024 21:03,20/11/2024 20:24,14/11/2024 22:02,4928-4943,,11,10,,,The Sonozotz project,,,,,,,en,© 2020 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.6245,,C:\Users\rober\Zotero\storage\WSRHEZJ6\Zamora-Gutierrez et al. - 2020 - The Sonozotz project Assembling an echolocation c.pdf; C:\Users\rober\Zotero\storage\4ACS9YWP\Zamora-Gutierrez et al. - 2020 - The Sonozotz project Assembling an echolocation call library for bats in a megadiverse country.pdf; C:\Users\rober\Zotero\storage\PSN588BH\ece3.html,,,Chiroptera; acoustics; Neotropics; insectivorous bats; ultrasounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ZC7QBUY,webpage,2024,,A Standardized Review of Bat Names Across Multiple Taxonomic Authorities,Arizona State University,,,,https://asu.elsevierpure.com/en/datasets/a-standardized-review-of-bat-names-across-multiple-taxonomic-auth,,,21/11/2024 22:03,21/11/2024 22:03,21/11/2024 22:03,,,,,,,,,,,,,,en,,,,,,,,,C:\Users\rober\Zotero\storage\DYQ4L8RH\a-standardized-review-of-bat-names-across-multiple-taxonomic-auth.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF9WJ3LI,journalArticle,2024,"Zapata-Mesa, Natalya; Montoya-Bustamante, Sebastián; Hoyos, Juliana; Peña, Daniela; Galindo-González, Jorge; Chacón-Pacheco, Julio J.; Ballesteros-Correa, Jesús; Pastrana-Montiel, Maria Raquel; Graciolli, Gustavo; Nogueira, Marcelo R.; Mello, Marco A. R.",BatFly: A database of Neotropical bat–fly interactions,Ecology,,1939-9170,10.1002/ecy.4249,https://onlinelibrary.wiley.com/doi/abs/10.1002/ecy.4249,"Global changes have increased the risk of emerging infectious diseases, which can be prevented or mitigated by studying host–parasite interactions, among other measures. Bats and their ectoparasitic flies of the families Streblidae and Nycteribiidae are an excellent study model but, so far, our knowledge has been restricted to fragmented records at a local scale. To help boost research, we assembled a data set of bat–fly interactions from 174 studies published between 1904 and 2022 plus three original data sets. Altogether, these studies were carried out at 650 sites in the Neotropics, mainly distributed in Mexico, Brazil, Argentina, southern USA, and Colombia, among other countries. In total, our data set contains 3984 interaction records between 237 bat species and 255 fly species. The bat species with the largest number of recorded interactions were Carollia perspicillata (357), Artibeus jamaicensis (263), and Artibeus lituratus (228). The fly species with the largest number of recorded interactions were Trichobius joblingi (256), Megistopoda aranea (235), and Megistopoda proxima (215). The interaction data were extracted, filtered, taxonomically harmonized, and made available in a tidy format together with linked data on bat population, fly population, study reference, sampling methods and geographic information from the study sites. This interconnected structure enables the expansion of information for each interaction record, encompassing where and how each interaction occurred, as well as the number of bats and flies involved. We expect BatFly to open new avenues for research focused on different levels of ecological organization and spatial scales. It will help consolidate knowledge about ecological specialization, resource distribution, pathogen transmission, and the drivers of parasite prevalence over a broad spatial range. It may also help to answer key questions such as: Are there differences in fly prevalence or mean infestation across Neotropical ecoregions? What ecological drivers explain those differences? How do specialization patterns vary among fly species in the Neotropics? Furthermore, we expect BatFly to inspire research aimed at understanding how climate and land-use changes may impact host–parasite interactions and disease outbreaks. This kind of research may help us reach Sustainable Development Goal 3, Good Health and Wellbeing, outlined by the United Nations. The data are released under a Creative Commons Attribution 4.0 International License.",2024,22/11/2024 20:32,22/11/2024 20:32,22/11/2024 20:32,e4249,,3,105,,,BatFly,,,,,,,en,© 2024 The Ecological Society of America.,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/ecy.4249,,C:\Users\rober\Zotero\storage\3H8ZYDC8\Zapata-Mesa et al. - 2024 - BatFly A database of Neotropical bat–fly interactions.pdf; C:\Users\rober\Zotero\storage\KW5L456X\ecy.html,,,Chiroptera; bats; zoonosis; antagonism; bat flies; diseases; ectoparasites; hematophagy; Nycteribiidae; specialization; species interactions; Streblidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYPTFBEP,journalArticle,2022,"Görföl, Tamás; Huang, Joe Chun-Chia; Csorba, Gábor; Győrössy, Dorottya; Estók, Péter; Kingston, Tigga; Szabadi, Kriszta Lilla; McArthur, Ellen; Senawi, Juliana; Furey, Neil M.; Tu, Vuong Tan; Thong, Vu Dinh; Khan, Faisal Ali Anwarali; Jinggong, Emy Ritta; Donnelly, Melissa; Kumaran, Jayaraj Vijaya; Liu, Jian-Nan; Chen, Shiang-Fan; Tuanmu, Mao-Ning; Ho, Ying-Yi; Chang, Heng-Chia; Elias, Nurul-Ain; Abdullah, Nur-Izzati; Lim, Lee-Sim; Squire, C. Daniel; Zsebők, Sándor",ChiroVox: a public library of bat calls,PeerJ,,,10.7717/peerj.12445,https://pmc.ncbi.nlm.nih.gov/articles/PMC8761365/,"Recordings of bat echolocation and social calls are used for many research purposes from ecological studies to taxonomy. Effective use of these relies on identification of species from the recordings, but comparative recordings or detailed call ...",13/01/2022,09/01/2024 15:48,08/01/2025 21:28,22/11/2024 20:33,e12445,,,10,,,ChiroVox,,,,,,,en,,,,,pmc.ncbi.nlm.nih.gov,,PMID: 35070499,,C:\Users\rober\Zotero\storage\EV88TIHS\Görföl et al. - 2022 - ChiroVox a public library of bat calls.pdf; C:\Users\rober\Zotero\storage\NMY2QUDR\Görföl et al. - 2022 - ChiroVox a public library of bat calls.pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/35070499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
