"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KLTF97IB","journalArticle","2016","Pavan, Ana Carolina; Marroig, Gabriel","Integrating multiple evidences in taxonomy: species diversity and phylogeny of mustached bats (Mormoopidae: <i>Pteronotus</i>)","Molecular Phylogenetics and Evolution","","1055-7903","10.1016/j.ympev.2016.07.011","https://www.sciencedirect.com/science/article/pii/S1055790316301580","A phylogenetic systematic perspective is instrumental in recovering new species and their evolutionary relationships. The advent of new technologies for molecular and morphological data acquisition and analysis, allied to the integration of knowledge from different areas, such as ecology and population genetics, allows for the emergence of more rigorous, accurate and complete scientific hypothesis on species diversity. Mustached bats (genus Pteronotus) are a good model for the application of this integrative approach. They are a widely distributed and a morphologically homogeneous group, but comprising species with remarkable differences in their echolocation strategy and feeding behavior. The latest systematic review suggested six species with 17 subspecies in Pteronotus. Subsequent studies using discrete morphological characters supported the same arrangement. However, recent papers reported high levels of genetic divergence among conspecific taxa followed by bioacoustic and geographic agreement, suggesting an underestimated diversity in the genus. To date, no study merging genetic evidences and morphometric variation along the entire geographic range of this group has been attempted. Based on a comprehensive sampling including representatives of all current taxonomic units, we attempt to delimit species in Pteronotus through the application of multiple methodologies and hierarchically distinct datasets. The molecular approach includes six molecular markers from three genetic transmission systems; morphological investigations used 41 euclidean distances estimated through three-dimensional landmarks collected from 1628 skulls. The phylogenetic analysis reveals a greater diversity than previously reported, with a high correspondence among the genetic lineages and the currently recognized subspecies in the genus. Discriminant analysis of variables describing size and shape of cranial bones support the rising of the genetic groups to the specific status. Based on multiples evidences, we present an updated taxonomic arrangement composed by 16 extant species and a new and more robust phylogenetic hypothesis for the species included in the genus Pteronotus. Studies developed under such integrative taxonomic approach are timely for a deeper and wider comprehension of Neotropical diversity, representing the first step for answering broader questions on evolutionary and ecological aspects of Neotropical life history.","2016-10-01","2024-09-06 17:56:07","2024-09-06 17:56:14","2024-09-06 17:56:07","184-198","","","103","","Molecular Phylogenetics and Evolution","Integrating multiple evidences in taxonomy","","","","","","","","","","","","ScienceDirect","","","","C:\Users\rober\Zotero\storage\AE5SLL5H\Pavan and Marroig - 2016 - Integrating multiple evidences in taxonomy species diversity and phylogeny of mustached bats (Mormo.pdf; C:\Users\rober\Zotero\storage\N3KLVW97\S1055790316301580.html","","","Euclidean distances; Evolutionary history; Integrative taxonomy; Neotropical diversity; Phylogeny; Species tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7N4EIHC","journalArticle","2020","Frick, Winifred F.; Kingston, Tigga; Flanders, Jon","A review of the major threats and challenges to global bat conservation","Annals of the New York Academy of Sciences","","0077-8923, 1749-6632","10.1111/nyas.14045","https://nyaspubs.onlinelibrary.wiley.com/doi/10.1111/nyas.14045","Abstract             Bats are an ecologically and taxonomically diverse group accounting for roughly a fifth of mammalian diversity worldwide. Many of the threats bats face (e.g., habitat loss, bushmeat hunting, and climate change) reflect the conservation challenges of our era. However, compared to other mammals and birds, we know significantly less about the population status of most bat species, which makes prioritizing and planning conservation actions challenging. Over a third of bat species assessed by the International Union for Conservation of Nature (IUCN) are considered threatened or data deficient, and well over half of the species have unknown or decreasing population trends. That equals 988 species, or 80% of bats assessed by IUCN, needing conservation or research attention. Delivering conservation to bat species will require sustained efforts to assess population status and trends and address data deficiencies. Successful bat conservation must integrate research and conservation to identify stressors and their solutions and to test the efficacy of actions to stabilize or increase populations. Global and regional networks that connect researchers, conservation practitioners, and local stakeholders to share knowledge, build capacity, and prioritize and coordinate research and conservation efforts, are vital to ensuring sustainable bat populations worldwide.","2020-06","2024-01-09 23:26:41","2024-11-12 21:37:31","2024-01-09 23:26:41","5-25","","1","1469","","Annals of the New York Academy of Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\rober\Zotero\storage\C9YUYTYU\Frick et al. - 2020 - A review of the major threats and challenges to gl.pdf; C:\Users\rober\Zotero\storage\WJBI2ZEF\Frick et al. - 2020 - A review of the major threats and challenges to gl.pdf; C:\Users\rober\Zotero\storage\QULCL59S\Frick et al. - 2020 - A review of the major threats and challenges to global bat conservation.pdf; C:\Users\rober\Zotero\storage\444QC496\nyas.html","","","conservation; biodiversity; mammals; Chiroptera; bats; threats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GSWTPHW","journalArticle","2024","Russo, Danilo; Jones, Gareth; Martinoli, Adriano; Preatoni, Damiano G.; Spada, Martina; Pereswiet-Soltan, Andrea; Cistrone, Luca","Climate is changing, are European bats too? A multispecies analysis of trends in body size","Ecology and Evolution","","2045-7758","10.1002/ece3.10872","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.10872","Animal size, a trait sensitive to spatial and temporal variables, is a key element in ecological and evolutionary dynamics. In the context of climate change, there is evidence that some bat species are increasing their body size via phenotypic responses to higher temperatures at maternity roosts. To test the generality of this response, we conducted a >20-year study examining body size changes in 15 bat species in Italy, analysing data from 4393 individual bats captured since 1995. In addition to examining the temporal effect, we considered the potential influence of sexual dimorphism and, where relevant, included latitude and altitude as potential drivers of body size change. Contrary to initial predictions of a widespread increase in size, our findings challenge this assumption, revealing a nuanced interplay of factors contributing to the complexity of bat body size dynamics. Specifically, only three species (Myotis daubentonii, Nyctalus leisleri, and Pipistrellus pygmaeus) out of the 15 exhibited a discernible increase in body size over the studied period, prompting a reassessment of bats as reliable indicators of climate change based on alterations in body size. Our investigation into influencing factors highlighted the significance of temperature-related variables, with latitude and altitude emerging as crucial drivers. In some cases, this mirrored patterns consistent with Bergmann's rule, revealing larger bats recorded at progressively higher latitudes (Plecotus auritus, Myotis mystacinus, and Miniopterus schreibersii) or altitudes (Pipistrellus kuhlii). We also observed a clear sexual dimorphism effect in most species, with females consistently larger than males. The observed increase in size over time in three species suggests the occurrence of phenotypic plasticity, raising questions about potential long-term selective pressures on larger individuals. The unresolved question of whether temperature-related changes in body size reflect microevolutionary processes or phenotypic plastic responses adds further complexity to our understanding of body size patterns in bats over time and space.","2024","2024-10-17 21:25:04","2024-11-12 19:59:29","2024-10-17 21:25:04","e10872","","2","14","","","Climate is changing, are European bats too?","","","","","","","en","© 2024 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.10872","","C:\Users\rober\Zotero\storage\MUFRIPKK\Russo et al. - 2024 - Climate is changing, are European bats too A multispecies analysis of trends in body size.pdf; C:\Users\rober\Zotero\storage\GHY5UD5I\ece3.html","","","climate change; Chiroptera; altitude; Bergmann's rule; latitude","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJKUIRNY","journalArticle","2022","Ramírez-Fráncel, Leidy Azucena; García-Herrera, Leidy Viviana; Losada-Prado, Sergio; Reinoso-Flórez, Gladys; Sánchez-Hernández, Alfonso; Estrada-Villegas, Sergio; Lim, Burton K.; Guevara, Giovany","Bats and their vital ecosystem services: a global review","Integrative Zoology","","1749-4877","10.1111/1749-4877.12552","https://onlinelibrary.wiley.com/doi/abs/10.1111/1749-4877.12552","Bats play crucial ecosystem services as seed dispersers, pollinators, controllers of insects, and nutrient recyclers. However, there has not been a thorough global review evaluating these roles in bats across all biogeographical regions of the world. We reviewed the literature published during the last two decades and identified 283 relevant studies: 78 dealt with the control of potential insect pests by bats, 80 related to the suppression of other arthropods, 60 on the dispersal of native or endemic seeds, 11 dealt with the dispersal of seeds of introduced plants, 29 on the pollination of native or endemic plants, 1 study on pollination of introduced plants, and 24 on the use of guano as fertilizer. Our literature search showed that queries combining the terms “seed dispersal,” “insectivorous bats,” “nectarivorous bats,” “use of guano,” and “ecosystem services” returned 577 studies, but half were experimental in nature. We found that the evaluation of ecosystem services by bats has been mostly conducted in the Neotropical and Palearctic regions. To detect differences across relevant studies, and to explain trends in the study of ecosystem services provided by bats, we performed generalized linear mixed models (GLMM) fitted with a Poisson distribution to analyze potential differences among sampling methods. We identified 409 bat species that provide ecosystem services, 752 insect species consumed by bats and 549 plant species either dispersed or pollinated by bats. Our review summarizes the importance of conserving bat populations and the ecological services they provide, which is especially important during the current pandemic.","2022","2024-09-13 18:51:52","2024-11-12 19:59:27","2024-09-13 18:51:52","2-23","","1","17","","","Bats and their vital ecosystem services","","","","","","","en","© 2021 International Society of Zoological Sciences, Institute of Zoology/Chinese Academy of Sciences and John Wiley & Sons Australia, Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/1749-4877.12552","","C:\Users\rober\Zotero\storage\MZ84LK6J\Ramírez-Fráncel et al. - 2022 - Bats and their vital ecosystem services a global review.pdf; C:\Users\rober\Zotero\storage\RVCI94AY\Ramírez-Fráncel et al. - 2022 - Bats and their vital ecosystem services a global review.pdf; C:\Users\rober\Zotero\storage\V78SDA7W\1749-4877.html","","","ecosystem services; chiroptera; frugivory; guano; insectivory; nectarivory; pest control; pollination; seed dispersal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2Q8PRQE","journalArticle","2013","Moussy, Caroline; Hosken, D.J.; Mathews, F.; Smith, G.C.; Aegerter, J.N.; Bearhop, S.","Migration and dispersal patterns of bats and their influence on genetic structure","Mammal Review","","0305-1838, 1365-2907","10.1111/j.1365-2907.2012.00218.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2907.2012.00218.x","Abstract                                                                Bats are important ecosystems service providers, make a significant contribution to biodiversity and can be important pests and disease vectors. In spite of this, information on their migration and dispersal patterns is limited.                                                     In temperate bats, migration is most evident in females. This reflects seasonal differences in their habitat requirements, and the fact that seasonally suitable sites can be geographically distant. Tropical bats mainly migrate to track variation in food availability.                                                     Little direct information is available on the patterns and drivers of bat dispersal, although drivers may include mate competition and inbreeding avoidance. In many temperate species, differential energy requirements and local resource competition among the sexes drive sexual segregation in the summer: females remain philopatric to their natal region, and frequently to their natal colony, while males disperse. In contrast, many tropical Pteropodidae form single‐male/multi‐female groups in which local resource defence contributes to female‐biased or all‐offspring dispersal from the natal site.                                                     Population genetic studies are the most common source of evidence used to infer the spatial dynamics of bats. As expected, migratory species tend to have less genetically structured populations over large geographical scales due to mating outside of breeding areas, weak migratory connectivity and long‐distance movements. In contrast and as expected, populations of sedentary species tend to be more differentiated at smaller geographical scales.                                                     Despite this general pattern, a range of factors, including historical events, dispersal capabilities, and behavioural, ecological and geographical barriers, are implicated in the genetic partitioning of bat populations, irrespective of movement patterns. These factors limit the study of bat movements using only genetic methods.                                                     Combining population genetics with other methods, such as mark–recapture, tracking or stable isotope analysis, should provide more insight into the movements of these ecologically and economically important species.","2013-07","2024-01-09 23:15:39","2024-01-09 23:15:39","2024-01-09 23:15:39","183-195","","3","43","","Mammal Review","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\rober\Zotero\storage\WJ833JMF\Moussy et al. - 2013 - Migration and dispersal patterns of bats and their.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDHGHRM4","journalArticle","2019","Lyons, S Kathleen; Smith, Felisa A; Ernest, S K Morgan","Macroecological patterns of mammals across taxonomic, spatial, and temporal scales","Journal of Mammalogy","","0022-2372","10.1093/jmammal/gyy171","https://doi.org/10.1093/jmammal/gyy171","The field of macroecology has made many contributions to our understanding of mammalian ecology and evolution through its use of big data and the examination of statistical patterns that emerge. Here, we review the advances in three areas of mammalian macroecology: 1) spatial and temporal patterns of assemblage structure and space use, 2) the processes and constraints underlying the evolution of body size and life history, and 3) advances in understanding and predicting loss of biodiversity. We highlight the important role that studies of mammals have played in the advancement of macroecological theories and patterns, and note that both mammalogy and macroecology are richer because of this linkage.","2019-05-23","2024-01-29 20:52:00","2024-01-29 20:52:00","2024-01-29 20:52:00","1087-1104","","3","100","","Journal of Mammalogy","","","","","","","","","","","","","Silverchair","","","","C:\Users\rober\Zotero\storage\ZRPKEY8G\Lyons et al. - 2019 - Macroecological patterns of mammals across taxonom.pdf; C:\Users\rober\Zotero\storage\3KSR4VD5\5498021.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AK65GMD3","journalArticle","2011","Kunz, Thomas H.; Braun de Torrez, Elizabeth; Bauer, Dana; Lobova, Tatyana; Fleming, Theodore H.","Ecosystem services provided by bats","Annals of the New York Academy of Sciences","","1749-6632","10.1111/j.1749-6632.2011.06004.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.2011.06004.x","Ecosystem services are the benefits obtained from the environment that increase human well-being. Economic valuation is conducted by measuring the human welfare gains or losses that result from changes in the provision of ecosystem services. Bats have long been postulated to play important roles in arthropod suppression, seed dispersal, and pollination; however, only recently have these ecosystem services begun to be thoroughly evaluated. Here, we review the available literature on the ecological and economic impact of ecosystem services provided by bats. We describe dietary preferences, foraging behaviors, adaptations, and phylogenetic histories of insectivorous, frugivorous, and nectarivorous bats worldwide in the context of their respective ecosystem services. For each trophic ensemble, we discuss the consequences of these ecological interactions on both natural and agricultural systems. Throughout this review, we highlight the research needed to fully determine the ecosystem services in question. Finally, we provide a comprehensive overview of economic valuation of ecosystem services. Unfortunately, few studies estimating the economic value of ecosystem services provided by bats have been conducted to date; however, we outline a framework that could be used in future studies to more fully address this question. Consumptive goods provided by bats, such as food and guano, are often exchanged in markets where the market price indicates an economic value. Nonmarket valuation methods can be used to estimate the economic value of nonconsumptive services, including inputs to agricultural production and recreational activities. Information on the ecological and economic value of ecosystem services provided by bats can be used to inform decisions regarding where and when to protect or restore bat populations and associated habitats, as well as to improve public perception of bats.","2011","2024-01-18 17:00:22","2024-01-18 17:00:25","2024-01-18 17:00:21","1-38","","1","1223","","","","","","","","","","en","© 2011 New York Academy of Sciences","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1749-6632.2011.06004.x","","C:\Users\rober\Zotero\storage\FI4GNARA\Kunz et al. - 2011 - Ecosystem services provided by bats.pdf; C:\Users\rober\Zotero\storage\INN2VTDW\j.1749-6632.2011.06004.html","","","insectivory; pollination; seed dispersal; arthropod suppression; biological pest control; ecosystem valuation; pesticide reduction; sustainable agriculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWMKIQ5V","journalArticle","2022","Crane, Matt; Silva, Inês; Grainger, Matthew J.; Gale, George A.","Limitations and gaps in global bat wing morphology trait data","Mammal Review","","1365-2907","10.1111/mam.12270","https://onlinelibrary.wiley.com/doi/abs/10.1111/mam.12270","Species’ life-history traits have a wide variety of applications in ecological and conservation research, particularly when assessing threats. The development and growth of global species’ trait databases are critical for improving trait-based analyses; however, it is vital to understand the gaps and biases in the available data. We reviewed bat wing morphology data, specifically mass, wingspan, wing area, wing loading, and aspect ratio, to identify issues with data reporting and ambiguity. Additionally, we aimed to assess taxonomic and geographic biases in trait data coverage. We found that most studies used similar field methodology, but that data reporting and quality were inconsistent/poor. Additionally, we noted several issues regarding semantic ambiguity in trait definitions, specifically around what constitutes wing area. Globally, we found that bat wing morphology trait coverage was low. Only six bat families had ≥40% trait coverage, and, of those, none consisted of more than 11 species in total. We found similar biases in trait coverage across International Union for Conservation of Nature Red List categories, with threatened species having lower coverage. Geographically, North America, Europe, and the Indomalayan regions exhibited higher overall trait coverage, while both the Afrotropical and Neotropical ecoregions showed poor trait coverage. The underlying biases and gaps in bat wing morphology data have implications for researchers conducting global trait-based assessments. Implementing imputation techniques may address missing data, but only for smaller regional subsets with substantial trait coverage. Due to generally low overall trait coverage, increasing species’ representation in the database should be prioritised. We suggest adopting an Ecological Trait Standard Vocabulary to reduce semantic ambiguity in bat wing morphology traits, to improve data compilation and clarity. Additionally, we advocate that researchers adopt an Open Science approach to facilitate the growth of a bat wing morphology trait database.","2022","2024-01-15 17:24:49","2024-01-15 17:24:49","2024-01-15 17:24:49","165-176","","2","52","","","","","","","","","","en","© 2021 The Mammal Society and John Wiley & Sons Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/mam.12270","","C:\Users\rober\Zotero\storage\YK5G98IL\mam.html; C:\Users\rober\Zotero\storage\Z92WUIKJ\Crane et al. - 2022 - Limitations and gaps in global bat wing morphology.pdf","","","aspect ratio; bats (Chiroptera); reproducibility; spatial biases; species’ traits; taxonomic biases; wing loading","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXY2MU3F","journalArticle","2024","Aggrey, Siya; Rwego, Innocent B.; Sande, Eric; Khayiyi, Joyce D.; Kityo, Robert M.; Masembe, Charles; Kading, Rebekah C.","Socioeconomic benefits associated with bats","Journal of Ethnobiology and Ethnomedicine","","1746-4269","10.1186/s13002-024-00720-w","https://doi.org/10.1186/s13002-024-00720-w","While bats are tremendously important to global ecosystems, they have been and continue to be threatened by loss of habitat, food, or roosts, pollution, bat diseases, hunting and killing. Some bat species have also been implicated in the transmission of infectious disease agents to humans. While One Health efforts have been ramped up recently to educate and protect human and bat health, such initiatives have been limited by lack of adequate data on the pathways to ensure their support. For instance, data on the role of bats in supporting different components of human welfare assets would be utilized as a stepping stone to champion conservation campaigns. Unfortunately, these data are limited and efforts to synthesize existing literature have majorly focused on few components human welfare leaving other important aspects.","2024-08-20","2024-11-11 21:14:17","2024-11-11 21:14:20","2024-11-11 21:14:17","78","","1","20","","Journal of Ethnobiology and Ethnomedicine","","","","","","","","","","","","","BioMed Central","","","","C:\Users\rober\Zotero\storage\QLMJVCQF\Aggrey et al. - 2024 - Socioeconomic benefits associated with bats.pdf; C:\Users\rober\Zotero\storage\ZKS4CYCH\s13002-024-00720-w.html","","","Conservation; Bats; Benefits; Economics; Indigenous knowledge; Social ecosystem; Traditional knowledge; Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F33FGIN4","journalArticle","2022","Tackett, Elaine S.; Kingston, Tigga; Sadeghmoghaddam, Narges; Rutrough, Abigail L.","Global Medicinal Use of Bats: A Systematic Literature and Social Media Review","Diversity","","1424-2818","10.3390/d14030179","https://www.mdpi.com/1424-2818/14/3/179","The hunting of bats for food and medicine is one of the greatest threats to bat conservation. While hunting for consumption is the focus of increased attention, the specific medicinal uses of bats are poorly documented, limiting mitigation efforts. Here, we determine the distribution of bat hunting for food and medicinal use and characterize medicinal use practices. We systematically surveyed English-language scientific literature and social media platforms utilizing keywords and hashtags in 27 languages. We found 198 papers and 1063 social media posts from 83 countries and territories. Although use for food was more common, with 1284 unique reports from 71 countries, bats were used to treat 42 ailments of 11 human body systems across 37 countries (453 reports). Asthma was the most common ailment, distantly followed by kidney conditions. Ten organs or body parts of bats were used medicinally, with bat meat (flesh) and fluids (blood, bile, and oil) the most common. Understanding the effects and drivers of specific bat hunting practices will help guide conservation and public health efforts in the communities where bats are hunted. By pinpointing the ailments bats are being used for, outreach and alternative treatments can be introduced to replace the use of bats.","2022-03","2024-11-11 21:17:56","2024-11-11 21:17:56","2024-11-11 21:17:56","179","","3","14","","","Global Medicinal Use of Bats","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 3 Publisher: Multidisciplinary Digital Publishing Institute","","C:\Users\rober\Zotero\storage\ULUK7ZHE\Tackett et al. - 2022 - Global Medicinal Use of Bats A Systematic Literature and Social Media Review.pdf","","","conservation; bats; bushmeat; hunting; overexploitation; traditional medicine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
