Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
3GSWTPHW,journalArticle,2024,"Russo, Danilo; Jones, Gareth; Martinoli, Adriano; Preatoni, Damiano G.; Spada, Martina; Pereswiet-Soltan, Andrea; Cistrone, Luca","Climate is changing, are European bats too? A multispecies analysis of trends in body size",Ecology and Evolution,,2045-7758,10.1002/ece3.10872,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.10872,"Animal size, a trait sensitive to spatial and temporal variables, is a key element in ecological and evolutionary dynamics. In the context of climate change, there is evidence that some bat species are increasing their body size via phenotypic responses to higher temperatures at maternity roosts. To test the generality of this response, we conducted a >20-year study examining body size changes in 15 bat species in Italy, analysing data from 4393 individual bats captured since 1995. In addition to examining the temporal effect, we considered the potential influence of sexual dimorphism and, where relevant, included latitude and altitude as potential drivers of body size change. Contrary to initial predictions of a widespread increase in size, our findings challenge this assumption, revealing a nuanced interplay of factors contributing to the complexity of bat body size dynamics. Specifically, only three species (Myotis daubentonii, Nyctalus leisleri, and Pipistrellus pygmaeus) out of the 15 exhibited a discernible increase in body size over the studied period, prompting a reassessment of bats as reliable indicators of climate change based on alterations in body size. Our investigation into influencing factors highlighted the significance of temperature-related variables, with latitude and altitude emerging as crucial drivers. In some cases, this mirrored patterns consistent with Bergmann's rule, revealing larger bats recorded at progressively higher latitudes (Plecotus auritus, Myotis mystacinus, and Miniopterus schreibersii) or altitudes (Pipistrellus kuhlii). We also observed a clear sexual dimorphism effect in most species, with females consistently larger than males. The observed increase in size over time in three species suggests the occurrence of phenotypic plasticity, raising questions about potential long-term selective pressures on larger individuals. The unresolved question of whether temperature-related changes in body size reflect microevolutionary processes or phenotypic plastic responses adds further complexity to our understanding of body size patterns in bats over time and space.",2024,17/10/2024 21:25,12/11/2024 19:59,17/10/2024 21:25,e10872,,2,14,,,"Climate is changing, are European bats too?",,,,,,,en,© 2024 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.10872,,"C:\Users\rober\Zotero\storage\MUFRIPKK\Russo et al. - 2024 - Climate is changing, are European bats too A multispecies analysis of trends in body size.pdf; C:\Users\rober\Zotero\storage\GHY5UD5I\ece3.html",,,climate change; Chiroptera; altitude; Bergmann's rule; latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJQF7WIL,journalArticle,2023,"Froidevaux, Jérémy S. P.; Toshkova, Nia; Barbaro, Luc; Benítez-López, Ana; Kerbiriou, Christian; Le Viol, Isabelle; Pacifici, Michela; Santini, Luca; Stawski, Clare; Russo, Danilo; Dekker, Jasja; Alberdi, Antton; Amorim, Francisco; Ancillotto, Leonardo; Barré, Kévin; Bas, Yves; Cantú-Salazar, Lisette; Dechmann, Dina K. N.; Devaux, Tiphaine; Eldegard, Katrine; Fereidouni, Sasan; Furmankiewicz, Joanna; Hamidovic, Daniela; Hill, Davina L.; Ibáñez, Carlos; Julien, Jean-François; Juste, Javier; Kaňuch, Peter; Korine, Carmi; Laforge, Alexis; Legras, Gaëlle; Leroux, Camille; Lesiński, Grzegorz; Mariton, Léa; Marmet, Julie; Mata, Vanessa A.; Mifsud, Clare M.; Nistreanu, Victoria; Novella-Fernandez, Roberto; Rebelo, Hugo; Roche, Niamh; Roemer, Charlotte; Ruczyński, Ireneusz; Sørås, Rune; Uhrin, Marcel; Vella, Adriana; Voigt, Christian C.; Razgour, Orly",A species-level trait dataset of bats in Europe and beyond,Scientific Data,,2052-4463,10.1038/s41597-023-02157-4,https://www.nature.com/articles/s41597-023-02157-4,"Knowledge of species’ functional traits is essential for understanding biodiversity patterns, predicting the impacts of global environmental changes, and assessing the efficiency of conservation measures. Bats are major components of mammalian diversity and occupy a variety of ecological niches and geographic distributions. However, an extensive compilation of their functional traits and ecological attributes is still missing. Here we present EuroBaTrait 1.0, the most comprehensive and up-to-date trait dataset covering 47 European bat species. The dataset includes data on 118 traits including genetic composition, physiology, morphology, acoustic signature, climatic associations, foraging habitat, roost type, diet, spatial behaviour, life history, pathogens, phenology, and distribution. We compiled the bat trait data obtained from three main sources: (i) a systematic literature and dataset search, (ii) unpublished data from European bat experts, and (iii) observations from large-scale monitoring programs. EuroBaTrait is designed to provide an important data source for comparative and trait-based analyses at the species or community level. The dataset also exposes knowledge gaps in species, geographic and trait coverage, highlighting priorities for future data collection.",03/05/2023,15/01/2024 15:53,10/10/2024 17:40,15/01/2024 15:53,253,,1,10,,Sci Data,,,,,,,,en,2023 The Author(s),,,,www.nature.com,,Number: 1 Publisher: Nature Publishing Group,,C:\Users\rober\Zotero\storage\BDHC7RA9\Froidevaux et al. - 2023 - A species-level trait dataset of bats in Europe and beyond.pdf; C:\Users\rober\Zotero\storage\MR2XTGPV\Froidevaux et al. - 2023 - A species-level trait dataset of bats in Europe an.pdf,,,Ecology; Zoology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADQURN9J,journalArticle,2023,"Cosentino, Francesca; Castiello, Giorgia; Maiorano, Luigi",A dataset on African bats’ functional traits,Scientific Data,,2052-4463,10.1038/s41597-023-02472-w,https://www.nature.com/articles/s41597-023-02472-w,"Trait-based approaches are becoming extremely common in ecological modeling and the availability of traits databases is increasing. However, data availability is often biased towards particular regions and taxa, with many taxa (e.g., bats) often under-represented. Here, we present the AfroBaT dataset, a compilation of trait data on 320 African bat species containing 76,914 values for 86 traits focusing on morphology, reproduction, life-history, trophic ecology, and species distributions. All data were gathered from published literature following the ecological trait-data standard procedure. Missing data for both numerical and categorical traits were imputed with a machine learning approach including species phylogeny. Trophic ecology traits showed the highest coverage in the literature (72% of the species averaged over all traits), while reproductive traits the lowest. Our data imputation improved the coverage of AfroBaT especially for reproductive traits, going from 27% to 58% of the species covered. AfroBaT has a range of potential applications in macroecology and community ecology, and the availability of open-access data on African bats will enable collaboration and data-sharing among researchers.",14/09/2023,15/01/2024 15:55,10/10/2024 17:40,15/01/2024 15:55,623,,1,10,,Sci Data,,,,,,,,en,2023 The Author(s),,,,www.nature.com,,Number: 1 Publisher: Nature Publishing Group,,C:\Users\rober\Zotero\storage\MBLIJVTQ\Cosentino et al. - 2023 - A dataset on African bats’ functional traits.pdf; C:\Users\rober\Zotero\storage\9AWM865C\Cosentino et al. - 2023 - A dataset on African bats’ functional traits.pdf,,,Biodiversity; Ecological modelling; Macroecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59MP8FE,journalArticle,2024,"Castro, Mario G.; Amado, Talita Ferreira; Olalla-Tárraga, Miguel Á.",Correlated evolution between body size and echolocation in bats (order Chiroptera),BMC Ecology and Evolution,,2730-7182,10.1186/s12862-024-02231-4,https://doi.org/10.1186/s12862-024-02231-4,"Body size and echolocation call frequencies are related in bats. However, it is unclear if this allometry applies to the entire clade. Differences have been suggested between nasal and oral emitting bats, as well as between some taxonomic families. Additionally, the scaling of other echolocation parameters, such as bandwidth and call duration, needs further testing. Moreover, it would be also interesting to test whether changes in body size have been coupled with changes in these echolocation parameters throughout bat evolution. Here, we test the scaling of peak frequency, bandwidth, and call duration with body mass using phylogenetically informed analyses for 314 bat species. We specifically tested whether all these scaling patterns differ between nasal and oral emitting bats. Then, we applied recently developed Bayesian statistical techniques based on large-scale simulations to test for the existence of correlated evolution between body mass and echolocation.",15/04/2024,19/09/2024 23:03,12/11/2024 19:59,19/09/2024 23:03,44,,1,24,,BMC Ecology and Evolution,,,,,,,,,,,,,BioMed Central,,,,C:\Users\rober\Zotero\storage\HFKBXC7Z\Castro et al. - 2024 - Correlated evolution between body size and echolocation in bats (order Chiroptera).pdf; C:\Users\rober\Zotero\storage\ZYHPKBL8\Castro et al. - 2024 - Correlated evolution between body size and echolocation in bats (order Chiroptera).pdf; C:\Users\rober\Zotero\storage\FQM4V2ZY\s12862-024-02231-4.html,,,Bats; Correlated evolution; Echolocation; Allometric patterns; Body size; RevBayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8XA7KXE,journalArticle,2008,"Meyer, Christoph F. J.; Fründ, Jochen; Lizano, Willy Pineda; Kalko, Elisabeth K.V.",Ecological correlates of vulnerability to fragmentation in Neotropical bats,Journal of Applied Ecology,,1365-2664,10.1111/j.1365-2664.2007.01389.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2664.2007.01389.x,"1 In the face of widespread human-induced habitat fragmentation, identification of those ecological characteristics that render some species more vulnerable to fragmentation than others is vital for understanding, predicting and mitigating the effects of habitat alteration on biodiversity. We compare hypotheses on the causes of interspecific differences in fragmentation sensitivity using distribution and abundance data collected on 23 species of Neotropical bats. 2 Bats were captured over a 2-year period on 11 land-bridge islands in Gatún Lake, Panama, and on the adjacent mainland. We derived a series of explanatory variables from our capture data and from the literature: (1) natural abundance in continuous forest, (2) body mass, (3) trophic level, (4) dietary specialization, (5) vertical stratification, (6) edge-sensitivity, (7) mobility, (8) wing morphology (aspect ratio and relative wing loading) and (9) ecologically scaled landscape indices (ESLIs). After phylogenetic correction, these variables were used separately and in combination to assess their association with two indices of fragmentation sensitivity, species prevalence (proportion of islands occupied) as well as an index of change in abundance. 3 Model selection based on Akaike's information criterion identified edge-sensitivity as the best correlate of vulnerability to fragmentation. Natural abundance and mobility or traits linked to mobility (relative wing loading and ESLI) received limited support as predictors. Vulnerability of gleaning animalivorous bats is probably caused by a combination of these traits. 4 Synthesis and applications. Our findings emphasize the importance of a local-scale approach in developing predictive models of species fragmentation sensitivity and indicate that risk assessments of Neotropical bats could be based on species tolerance to habitat edges and mobility-related traits. We suggest that, in order to be effective, management efforts should aim to minimize the amount of edge-habitat and reduce the degree of fragment-matrix contrast. Moreover, if high bat diversity is to be preserved in fragmented Neotropical landscapes, conservation measures regarding reserve design should assure spatial proximity to source populations in larger tracts of continuous forest and a low degree of remnant isolation.",2008,29/01/2024 23:39,12/11/2024 19:59,29/01/2024 23:39,381-391,,1,45,,,,,,,,,,en,© 2007 The Authors,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2664.2007.01389.x,,C:\Users\rober\Zotero\storage\33XYKZYI\Meyer et al. - 2008 - Ecological correlates of vulnerability to fragment.pdf; C:\Users\rober\Zotero\storage\LXZNXKC2\Meyer et al. - 2008 - Ecological correlates of vulnerability to fragmentation in Neotropical bats.pdf; C:\Users\rober\Zotero\storage\3LVCC5W2\j.1365-2664.2007.01389.html,,,sensitivity; Chiroptera; vulnerability; ecological traits; habitat fragmentation; land-bridge islands; Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWMKIQ5V,journalArticle,2022,"Crane, Matt; Silva, Inês; Grainger, Matthew J.; Gale, George A.",Limitations and gaps in global bat wing morphology trait data,Mammal Review,,1365-2907,10.1111/mam.12270,https://onlinelibrary.wiley.com/doi/abs/10.1111/mam.12270,"Species’ life-history traits have a wide variety of applications in ecological and conservation research, particularly when assessing threats. The development and growth of global species’ trait databases are critical for improving trait-based analyses; however, it is vital to understand the gaps and biases in the available data. We reviewed bat wing morphology data, specifically mass, wingspan, wing area, wing loading, and aspect ratio, to identify issues with data reporting and ambiguity. Additionally, we aimed to assess taxonomic and geographic biases in trait data coverage. We found that most studies used similar field methodology, but that data reporting and quality were inconsistent/poor. Additionally, we noted several issues regarding semantic ambiguity in trait definitions, specifically around what constitutes wing area. Globally, we found that bat wing morphology trait coverage was low. Only six bat families had ≥40% trait coverage, and, of those, none consisted of more than 11 species in total. We found similar biases in trait coverage across International Union for Conservation of Nature Red List categories, with threatened species having lower coverage. Geographically, North America, Europe, and the Indomalayan regions exhibited higher overall trait coverage, while both the Afrotropical and Neotropical ecoregions showed poor trait coverage. The underlying biases and gaps in bat wing morphology data have implications for researchers conducting global trait-based assessments. Implementing imputation techniques may address missing data, but only for smaller regional subsets with substantial trait coverage. Due to generally low overall trait coverage, increasing species’ representation in the database should be prioritised. We suggest adopting an Ecological Trait Standard Vocabulary to reduce semantic ambiguity in bat wing morphology traits, to improve data compilation and clarity. Additionally, we advocate that researchers adopt an Open Science approach to facilitate the growth of a bat wing morphology trait database.",2022,15/01/2024 17:24,15/01/2024 17:24,15/01/2024 17:24,165-176,,2,52,,,,,,,,,,en,© 2021 The Mammal Society and John Wiley & Sons Ltd.,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/mam.12270,,C:\Users\rober\Zotero\storage\YK5G98IL\mam.html; C:\Users\rober\Zotero\storage\Z92WUIKJ\Crane et al. - 2022 - Limitations and gaps in global bat wing morphology.pdf,,,aspect ratio; bats (Chiroptera); reproducibility; spatial biases; species’ traits; taxonomic biases; wing loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZLEN34T,webpage,2024,,Bat Eco-Interactions,,,,,https://www.batbase.org/,,2024,15/01/2024 16:43,08/01/2025 22:04,15/01/2024 16:43,,,,,,,,,,,,,,,,,,,,,,,C:\Users\rober\Zotero\storage\LC3E7M5M\www.batbase.org.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUF2FF,journalArticle,2021,"Castillo-Figueroa, Dennis; Pérez-Torres, Jairo",On the development of a trait-based approach for studying Neotropical bats,Papéis Avulsos de Zoologia,,"0031-1049, 1807-0205",10.11606/1807-0205/2021.61.24,https://www.scielo.br/j/paz/a/RGXXLvGmyWchp8VgNjFzW7g/?format=html&lang=en,"Abstract New World bats are involved in key ecological processes and are good indicators of environmental changes. Recently, trait-based approaches have been used in several taxa to better understand mechanisms underlying species assemblages, biotic interactions, environmental relationships and ecosystem functions. However, despite the relevance of bats on ecosystem dynamics, so far, there is no conceptual framework that relies on the measurement of bat traits to address functional studies. Here, we present a set of 50 bat biological traits, which are suitable to assess environmental stressors and can potentially affect ecological processes. Several examples were provided to show the applicability of this framework in the study of Neotropical bat ecology. We suggest some considerations regarding trait-based approach including the importance of intraspecific variation, correlations between traits, response-effect framework, global dataset, and future directions to assess the reliability of functional relations across species and Neotropical regions by using traits. This could be helpful in tackling ecological questions associated with community assembly and habitat filtering, species diversity patterns along environmental gradients, and ecological processes. We envision this paper as a first step toward an integrative bat functional trait protocol held up with solid evidence.",16/04/2021,15/01/2024 16:02,15/01/2024 16:02,15/01/2024 16:02,e20216124,,,61,,Pap. Avulsos Zool.,,,,,,,,en,,,,,SciELO,,Publisher: Museu de Zoologia da Universidade de São Paulo,,C:\Users\rober\Zotero\storage\TUQKFKWI\Castillo-Figueroa y Pérez-Torres - 2021 - On the development of a trait-based approach for s.pdf,,,Chiroptera; Functional traits; Ecosystem functions; Life-history; Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNACB45M,journalArticle,1972,"Findley, James S.; Studier, Eugene H.; Wilson, Don E.",Morphologic Properties of Bat Wings,Journal of Mammalogy,,0022-2372,10.2307/1379035,https://doi.org/10.2307/1379035,"A method was devised for estimating aspect ratio, wing ratio, wing area, wing loading, and wing length from study skins of bats. These measures were taken of 136 species representing 15 families. Wing area and loading are positively, and wing length negatively, correlated with size. Aspect and tip ratios are independent of size and of each other. Distinctive combinations of some of these variables characterize groups of bats that presumably have similar flight modes. Speed is positively correlated with aspect ratio and tip index, but regresses significantly only on the former. Long tips coupled with low aspect ratio may characterize hoverers. Long wings and short tips may characterize bats that are capable of remaining airborne at slow speeds. Most bats with low aspect ratios are forest dwellers, whereas species with high aspect ratios are migrants and foragers in open areas.",27/09/1972,11/11/2024 19:24,11/11/2024 19:24,11/11/2024 19:24,429-444,,3,53,,Journal of Mammalogy,,,,,,,,,,,,,Silverchair,,,,C:\Users\rober\Zotero\storage\JTSH6A4E\896824.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWBJCK7G,journalArticle,2024,"Brualla, Nicolas L M; Wilson, Laura A B; Tu, Vuong Tan; Nojiri, Taro; Carter, Richard T; Ngamprasertwong, Thongchai; Wannaprasert, Thanakul; Doube, Michael; Fukui, Dai; Koyabu, Daisuke",Comparative anatomy of the vocal apparatus in bats and implications for the diversity of laryngeal echolocation,Zoological Journal of the Linnean Society,,0024-4082,10.1093/zoolinnean/zlad180,https://doi.org/10.1093/zoolinnean/zlad180,"Most of over 1400 extant bat species produce high-frequency pulses with their larynx for echolocation. However, the debate about the evolutionary origin of laryngeal echolocation in bats remains unresolved. The morphology of the larynx is known to reflect vocal adaptation and thus can potentially help in resolving this controversy. However, the morphological variations of the larynx are poorly known in bats, and a complete anatomical study remains to be conducted. Here, we compare the 3D laryngeal morphology of 23 extant bat species of 11 different families reconstructed by using iodine contrast-enhanced X-ray microtomography techniques. We find that, contrary to previously thought, laryngeal muscle hypertrophy is not a characteristic of all bats and presents differential development. The larynges of Pteropodidae are morphologically similar to those of non-bat mammals. Two morphotypes are described among laryngeal echolocating bats, illustrating morphological differences between Rhinolophoidea and Yangochiroptera, with the main variations being the cricothyroid muscle volume and the shape of the cricoid and thyroid cartilages. For the first time we detail functional specialization for constant frequency echolocation among Rhinolophoidea. Lastly, the nasal-emitting taxa representing a polyphyletic group do not share the same laryngeal form, which raises questions about the potential modular nature of the bat larynx.",19/01/2024,11/11/2024 19:31,11/11/2024 19:31,11/11/2024 19:31,zlad180,,,,,Zoological Journal of the Linnean Society,,,,,,,,,,,,,Silverchair,,,,C:\Users\rober\Zotero\storage\Y4QUUFEB\Brualla et al. - 2024 - Comparative anatomy of the vocal apparatus in bats and implications for the diversity of laryngeal e.pdf; C:\Users\rober\Zotero\storage\SSL2VGE8\7578357.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
