"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7THJR4VG","journalArticle","2022","Crane, Matt; Silva, Inês; Grainger, Matthew J.; Gale, George A.","Limitations and gaps in global bat wing morphology trait data","Mammal Review","","1365-2907","10.1111/mam.12270","https://onlinelibrary.wiley.com/doi/abs/10.1111/mam.12270","Species’ life-history traits have a wide variety of applications in ecological and conservation research, particularly when assessing threats. The development and growth of global species’ trait databases are critical for improving trait-based analyses; however, it is vital to understand the gaps and biases in the available data. We reviewed bat wing morphology data, specifically mass, wingspan, wing area, wing loading, and aspect ratio, to identify issues with data reporting and ambiguity. Additionally, we aimed to assess taxonomic and geographic biases in trait data coverage. We found that most studies used similar field methodology, but that data reporting and quality were inconsistent/poor. Additionally, we noted several issues regarding semantic ambiguity in trait definitions, specifically around what constitutes wing area. Globally, we found that bat wing morphology trait coverage was low. Only six bat families had ≥40% trait coverage, and, of those, none consisted of more than 11 species in total. We found similar biases in trait coverage across International Union for Conservation of Nature Red List categories, with threatened species having lower coverage. Geographically, North America, Europe, and the Indomalayan regions exhibited higher overall trait coverage, while both the Afrotropical and Neotropical ecoregions showed poor trait coverage. The underlying biases and gaps in bat wing morphology data have implications for researchers conducting global trait-based assessments. Implementing imputation techniques may address missing data, but only for smaller regional subsets with substantial trait coverage. Due to generally low overall trait coverage, increasing species’ representation in the database should be prioritised. We suggest adopting an Ecological Trait Standard Vocabulary to reduce semantic ambiguity in bat wing morphology traits, to improve data compilation and clarity. Additionally, we advocate that researchers adopt an Open Science approach to facilitate the growth of a bat wing morphology trait database.","2022","2025-02-10 20:38:14","2025-02-10 20:38:14","2025-02-10 20:38:14","165-176","","2","52","","","","","","","","","","en","© 2021 The Mammal Society and John Wiley & Sons Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/mam.12270","","C:\Users\rober\Zotero\storage\FYYK633D\Crane et al. - 2022 - Limitations and gaps in global bat wing morphology trait data.pdf","","","aspect ratio; bats (Chiroptera); reproducibility; spatial biases; species’ traits; taxonomic biases; wing loading","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9HETSBZP","journalArticle","2021","Laforge, Alexis; Archaux, Frédéric; Coulon, Aurélie; Sirami, Clélia; Froidevaux, Jérémy; Gouix, Nicolas; Ladet, Sylvie; Martin, Hilaire; Barré, Kevin; Roemer, Charlotte; Claireau, Fabien; Kerbiriou, Christian; Barbaro, Luc","Landscape composition and life-history traits influence bat movement and space use: Analysis of 30 years of published telemetry data","Global Ecology and Biogeography","","1466-8238","10.1111/geb.13397","https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.13397","Aim Animal movement determines home range patterns, which in turn affect individual fitness, population dynamics and ecosystem functioning. Using temperate bats, a group of particular conservation concern, we investigated how morphological traits, habitat specialization and environmental variables affect home range sizes and daily foraging movements, using a compilation of 30 years of published bat telemetry data. Location Northern America and Europe. Time period 1988–2016. Major taxa studied Bats. Methods We compiled data on home range size and mean daily distance between roosts and foraging areas at both colony and individual levels from 166 studies of 3,129 radiotracked individuals of 49 bat species. We calculated multi-scale habitat composition and configuration in the surrounding landscapes of the 165 studied roosts. Using mixed models, we examined the effects of habitat availability and spatial arrangement on bat movements, while accounting for body mass, aspect ratio, wing loading and habitat specialization. Results We found a significant effect of landscape composition on home range size and mean daily distance at both colony and individual levels. On average, home ranges were up to 42% smaller in the most habitat-diversified landscapes while mean daily distances were up to 30% shorter in the most forested landscapes. Bat home range size significantly increased with body mass, wing aspect ratio and wing loading, and decreased with habitat specialization. Main conclusions Promoting bat movements through the landscape surrounding roosts at large spatial scales is crucial for bat conservation. Forest loss and overall landscape homogenization lead temperate bats to fly further to meet their ecological requirements, by increasing home range sizes and daily foraging distances. Both processes might be more detrimental for smaller, habitat-specialized bats, less able to travel increasingly longer distances to meet their diverse needs.","2021","2025-02-10 20:38:23","2025-02-10 20:38:23","2025-02-10 20:38:23","2442-2454","","12","30","","","Landscape composition and life-history traits influence bat movement and space use","","","","","","","en","© 2021 John Wiley & Sons Ltd","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/geb.13397","","C:\Users\rober\Zotero\storage\MSKL9B6R\Laforge et al. - 2021 - Landscape composition and life-history traits influence bat movement and space use Analysis of 30 y.pdf","","","mammals; Chiroptera; home range; minimum convex polygon; animal movement; central place forager; landscape complementation; radiotracking; spatial behaviour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UP8QBWLV","book","2005","Kunz, Thomas H.; Fenton, M. Brock","Bat Ecology","","978-0-226-46207-3","","","","In recent years researchers have discovered that bats play key roles in many ecosystems as insect predators, seed dispersers, and pollinators. Bats also display astonishing ecological and evolutionary diversity and serve as important models for studies of a wide variety of topics, including food webs, biogeography, and emerging diseases. In Bat Ecology, world-renowned bat scholars present an up-to-date, comprehensive, and authoritative review of this ongoing research.  The first part of the book covers the life history and behavioral ecology of bats, from migration to sperm competition and natural selection. The next section focuses on functional ecology, including ecomorphology, feeding, and physiology. In the third section, contributors explore macroecological issues such as the evolution of ecological diversity, range size, and infectious diseases (including rabies) in bats. A final chapter discusses conservation challenges facing these fascinating flying mammals.  Bat Ecology is the most comprehensive state-of-the-field collection for scientists and researchers.  Contributors: John D. Altringham, Robert M. R. Barclay, Tenley M. Conway, Elizabeth R. Dumont, Peggy Eby, Abigail C. Entwistle, Theodore H. Fleming, Patricia W. Freeman, Lawrence D. Harder, Gareth Jones, Linda F. Lumsden, Gary F. McCracken, Sharon L. Messenger, Bruce D. Patterson, Paul A. Racey, Jens Rydell, Charles E. Rupprecht, Nancy B. Simmons, Jean S. Smith, John R. Speakman, Richard D. Stevens, Elizabeth F. Stockwell, Sharon M. Swartz, Donald W. Thomas, Otto von Helversen, Gerald S. Wilkinson, Michael R. Willig, York Winter","2005","2025-02-10 20:38:33","2025-02-10 20:38:33","","","799","","","","","","","","","","University of Chicago Press","","en","","","","","Google Books","","Google-Books-ID: 3JsLGJlPZH0C","","","https://books.google.com.mx/books?id=3JsLGJlPZH0C","","Nature / Animals / Mammals; Science / General; Science / Life Sciences / Ecology; Science / Life Sciences / Zoology / Mammals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NW2AZ4CL","journalArticle","2018","Jung, Kirsten; Threlfall, Caragh Grace","Trait-dependent tolerance of bats to urbanization: a global meta-analysis","Proceedings of the Royal Society B: Biological Sciences","","","10.1098/rspb.2018.1222","https://royalsocietypublishing.org/doi/full/10.1098/rspb.2018.1222","Urbanization is a severe threat to global biodiversity, often leading to taxonomic and functional homogenization. However, current urban ecology research has focused mostly on urban birds and plants, limiting our ability to make generalizations about the drivers of urban biodiversity globally. To address this gap, we conducted a global meta-analysis of 87 studies, including 180 bat species (Chiroptera) from urban areas in Asia, Australia, Europe, North and South America. We aimed to (i) understand the importance of functional traits and phylogeny in driving changes in urban bat assemblages, and (ii) assess the capacity of traits for predicting which types of species are most sensitive to urbanization. Our results indicate that species-specific functional traits explain differences in the intensity of urban habitat use. Urban tolerance mainly occurred within the open and edge space foraging and trawling species as well as in bats with flexible roosting strategies. In addition, across bioregions and independent of phylogeny, urban tolerance correlated with higher aspect ratio, a trait enabling fast flight but less agile manoeuvres during aerial food acquisition. Predictive success varied between bioregions, between 43 and 83%. Our analysis demonstrates that the local extinction of bat species in urban areas is non-random, trait-based and predictable, allowing urban landscape managers to tailor local conservation actions to particular types of species.","2018-08-22","2025-02-10 20:39:06","2025-02-10 20:39:06","2025-02-10 20:39:06","20181222","","1885","285","","","Trait-dependent tolerance of bats to urbanization","","","","","","","","","","","","royalsocietypublishing.org (Atypon)","","Publisher: Royal Society","","C:\Users\rober\Zotero\storage\4IQSCWS5\Jung y Threlfall - 2018 - Trait-dependent tolerance of bats to urbanization a global meta-analysis.pdf","","","conservation; biodiversity; functional traits; Chiroptera; meta-analysis; urban ecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HQG2G6J","journalArticle","2023","Cosentino, Francesca; Castiello, Giorgia; Maiorano, Luigi","A dataset on African bats’ functional traits","Scientific Data","","2052-4463","10.1038/s41597-023-02472-w","https://www.nature.com/articles/s41597-023-02472-w","Trait-based approaches are becoming extremely common in ecological modeling and the availability of traits databases is increasing. However, data availability is often biased towards particular regions and taxa, with many taxa (e.g., bats) often under-represented. Here, we present the AfroBaT dataset, a compilation of trait data on 320 African bat species containing 76,914 values for 86 traits focusing on morphology, reproduction, life-history, trophic ecology, and species distributions. All data were gathered from published literature following the ecological trait-data standard procedure. Missing data for both numerical and categorical traits were imputed with a machine learning approach including species phylogeny. Trophic ecology traits showed the highest coverage in the literature (72% of the species averaged over all traits), while reproductive traits the lowest. Our data imputation improved the coverage of AfroBaT especially for reproductive traits, going from 27% to 58% of the species covered. AfroBaT has a range of potential applications in macroecology and community ecology, and the availability of open-access data on African bats will enable collaboration and data-sharing among researchers.","2023-09-14","2025-02-10 20:39:10","2025-02-10 20:39:10","2025-02-10 20:39:10","623","","1","10","","Sci Data","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","C:\Users\rober\Zotero\storage\ZLTDJLX3\Cosentino et al. - 2023 - A dataset on African bats’ functional traits.pdf","","","Biodiversity; Ecological modelling; Macroecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVJCGUEY","journalArticle","2021","Castillo-Figueroa, Dennis; Pérez-Torres, Jairo","On the development of a trait-based approach for studying Neotropical bats","Papéis Avulsos de Zoologia","","0031-1049, 1807-0205","https://doi.org/10.11606/1807-0205/2021.61.24","https://www.scielo.br/j/paz/a/RGXXLvGmyWchp8VgNjFzW7g/?format=html&lang=en","New World bats are involved in key ecological processes and are good indicators of environmental changes. Recently, trait-based approaches have been used in several taxa to better understand mechanisms underlying species assemblages, biotic interactions, environmental relationships and ecosystem functions. However, despite the relevance of bats on ecosystem dynamics, so far, there is no conceptual framework that relies on the measurement of bat traits to address functional studies. Here, we present a set of 50 bat biological traits, which are suitable to assess environmental stressors and can potentially affect ecological processes. Several examples were provided to show the applicability of this framework in the study of Neotropical bat ecology. We suggest some considerations regarding trait-based approach including the importance of intraspecific variation, correlations between traits, response-effect framework, global dataset, and future directions to assess the reliability of functional relations across species and Neotropical regions by using traits. This could be helpful in tackling ecological questions associated with community assembly and habitat filtering, species diversity patterns along environmental gradients, and ecological processes. We envision this paper as a first step toward an integrative bat functional trait protocol held up with solid evidence.Keywords: Chiroptera; Ecosystem functions; Functional traits; Morphology; Life-history","2021-04-16","2025-02-10 20:39:22","2025-02-10 20:39:22","2025-02-10 20:39:22","e20216124","","","61","","Pap. Avulsos Zool.","","","","","","","","en","","","","","SciELO","","Publisher: Museu de Zoologia da Universidade de São Paulo","","C:\Users\rober\Zotero\storage\85RYL6IW\Castillo-Figueroa y Pérez-Torres - 2021 - On the development of a trait-based approach for studying Neotropical bats.pdf","","","Chiroptera; Functional traits; Ecosystem functions; Life-history; Morphology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGBT45ZX","journalArticle","2004","Brunet-Rossinni, Anja K.; Austad, Steven N.","Ageing Studies on Bats: A Review","Biogerontology","","1573-6768","10.1023/B:BGEN.0000038022.65024.d8","https://doi.org/10.1023/B:BGEN.0000038022.65024.d8","Bat biologists have long known about the exceptional longevity of bats (Order: Chiroptera), which is unusual for mammals of such a small size and a high metabolic rate. Yet relatively few mechanistic studies have focused on this longevity. On average, species of Chiroptera live three times longer than predicted by their body size. In addition, bats have other life history traits that are characteristic of large, long-lived mammals such as few and large offspring and slow growth rates. Bats fit the evolutionary theory of ageing, as their extended longevity is predicted by their ability to escape extrinsic mortality through flight and, in some species, hibernation. They also show tradeoffs between longevity and reproduction, as predicted by the disposable soma theory of ageing. From a physiological perspective, bat longevity reportedly correlates with replicative longevity, low brain calpain activity, and reduced reactive oxygen species production. As long-lived and physiologically interesting organisms, bats may prove to be an informative model system for ageing research.","2004-08-01","2025-02-10 20:39:29","2025-02-10 20:39:29","2025-02-10 20:39:29","211-222","","4","5","","Biogerontology","Ageing Studies on Bats","","","","","","","en","","","","","Springer Link","","","","C:\Users\rober\Zotero\storage\ARRSMXP8\Brunet-Rossinni y Austad - 2004 - Ageing Studies on Bats A Review.pdf","","","bats; chiroptera; ageing; calpain activity; longevity; reactive oxygen species; replicative longevity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7CUHS8F","journalArticle","2023","Froidevaux, Jérémy S. P.; Toshkova, Nia; Barbaro, Luc; Benítez-López, Ana; Kerbiriou, Christian; Le Viol, Isabelle; Pacifici, Michela; Santini, Luca; Stawski, Clare; Russo, Danilo; Dekker, Jasja; Alberdi, Antton; Amorim, Francisco; Ancillotto, Leonardo; Barré, Kévin; Bas, Yves; Cantú-Salazar, Lisette; Dechmann, Dina K. N.; Devaux, Tiphaine; Eldegard, Katrine; Fereidouni, Sasan; Furmankiewicz, Joanna; Hamidovic, Daniela; Hill, Davina L.; Ibáñez, Carlos; Julien, Jean-François; Juste, Javier; Kaňuch, Peter; Korine, Carmi; Laforge, Alexis; Legras, Gaëlle; Leroux, Camille; Lesiński, Grzegorz; Mariton, Léa; Marmet, Julie; Mata, Vanessa A.; Mifsud, Clare M.; Nistreanu, Victoria; Novella-Fernandez, Roberto; Rebelo, Hugo; Roche, Niamh; Roemer, Charlotte; Ruczyński, Ireneusz; Sørås, Rune; Uhrin, Marcel; Vella, Adriana; Voigt, Christian C.; Razgour, Orly","A species-level trait dataset of bats in Europe and beyond","Scientific Data","","2052-4463","10.1038/s41597-023-02157-4","https://www.nature.com/articles/s41597-023-02157-4","Knowledge of species’ functional traits is essential for understanding biodiversity patterns, predicting the impacts of global environmental changes, and assessing the efficiency of conservation measures. Bats are major components of mammalian diversity and occupy a variety of ecological niches and geographic distributions. However, an extensive compilation of their functional traits and ecological attributes is still missing. Here we present EuroBaTrait 1.0, the most comprehensive and up-to-date trait dataset covering 47 European bat species. The dataset includes data on 118 traits including genetic composition, physiology, morphology, acoustic signature, climatic associations, foraging habitat, roost type, diet, spatial behaviour, life history, pathogens, phenology, and distribution. We compiled the bat trait data obtained from three main sources: (i) a systematic literature and dataset search, (ii) unpublished data from European bat experts, and (iii) observations from large-scale monitoring programs. EuroBaTrait is designed to provide an important data source for comparative and trait-based analyses at the species or community level. The dataset also exposes knowledge gaps in species, geographic and trait coverage, highlighting priorities for future data collection.","2023-05-03","2025-02-10 20:39:34","2025-02-10 20:39:34","2025-02-10 20:39:34","253","","1","10","","Sci Data","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","C:\Users\rober\Zotero\storage\5XYY2XER\Froidevaux et al. - 2023 - A species-level trait dataset of bats in Europe and beyond.pdf","","","Ecology; Zoology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647YN4FN","journalArticle","1984","FREEMAN, PATRICIA W.","Functional cranial analysis of large animalivorous bats (Microchiroptera)","Biological Journal of the Linnean Society","","0024-4066","10.1111/j.1095-8312.1984.tb01601.x","https://doi.org/10.1111/j.1095-8312.1984.tb01601.x","Large animalivorous bats include carnivorous, piscivorous and insectivorous microchiropterans. Skull proportions and tooth morphology are examined and interpreted functionally. Four wide- faced bats from four families are convergent in having wide skulls, large masseter muscle volumes and stout jaws, indicating a powerful bite. Three of the four also have long canine teeth relative to their maxillary toothrows. Carnivorous bats have more elongate skulls, larger brain volumes and larger pinnae. The wide-faced bats are all dral emitters and have heads positively tilted relative to the basicranial axis. The carnivorous species are nasal-emitting bats and have negatively tilted heads. The orientation of the head relative to the basicranial axis affects several characters of the skull and jaws and is not correlated with size. The speculation that the type of echolocation may be more of a determinant of evolutionary change than the feeding mechanism is addressed. Wide-faced bats are thought to be capable of eating hard prey items (durophagus) and are probably non- discriminating, aurally less sophisticated insect generalists while the carnivorous and non- durophagus insectivorous bats may be more discriminating and aurally more sophisticated in what they eat.","1984-04-01","2025-02-10 20:39:47","2025-02-10 20:39:47","2025-02-10 20:39:47","387-408","","4","21","","Biological Journal of the Linnean Society","","","","","","","","","","","","","Silverchair","","","","C:\Users\rober\Zotero\storage\TNZH2GI7\FREEMAN - 1984 - Functional cranial analysis of large animalivorous bats (Microchiroptera).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4UWDA6P","journalArticle","1997","Norberg, Ulla M.; Rayner, J. M. V.; Lighthill, Michael James","Ecological morphology and flight in bats (Mammalia; Chiroptera): wing adaptations, flight performance, foraging strategy and echolocation","Philosophical Transactions of the Royal Society of London. B, Biological Sciences","","","10.1098/rstb.1987.0030","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.1987.0030","Bat wing morphology is considered in relation to flight performance and flight behaviour to clarify the functional basis for eco-morphological correlations in flying animals. Bivariate correlations are presented between wing dimensions and body mass for a range of bat families and feeding classes, and principal-components analysis is used to measure overall size, wing size and wing shape. The principal components representing wing size and wing shape (as opposed to overall size) are interpreted as being equivalent to wing loading and to aspect ratio. Relative length and area of the hand-wing or wingtip are determined independently of wing size, and are used to derive a wingtip shape index, which measures the degree of roundedness or pointedness of the wingtip. The optimal wing form for bats adapted for different modes of flight is predicted by means of mechanical and aerodynamic models. We identify and model aspects of performance likely to influence flight adaptation significantly; these include selective pressures for economic forward flight (low energy per unit time or per unit distance (equal to cost of transport)), for flight at high or low speeds, for hovering, and for turning. ""Turning performance is measured by two quantities: manoeuvrability, referring to the minimum space required for a turn at a given speed; and agility, relating to the rate at which a turn can be initiated. High flight speed correlates with high wing loading, good manoeuvrability is favoured by low wing loading, and turning agility should be associated with fast flight and with high wing loading. Other factors influencing wing adaptations, such as migration, flying with a foetus or young or carrying loads in flight (all of which favour large wing area), flight in cluttered environments (short wings) and modes of landing, are identified. The mechanical predictions are cast into a size-independent principal-components form, and are related to the morphology and the observed flight behaviour of different species and families of bats. In this way we provide a broadly based functional interpretation of the selective forces that influence wing morphology in bats. Measured flight speeds in bats permit testing of these predictions. Comparison of open-field free-flight speeds with morphology confirms that speed correlates with mass, wing loading and wingtip proportions as expected; there is no direct relation between speed and aspect ratio. Some adaptive trends in bat wing morphology are clear from this analysis. Insectivores hunt in a range of different ways, which are reflected in their morphology. Bats hawking high-flying insects have small, pointed wings which give good agility, high flight speeds and low cost of transport. Bats hunting for insects among vegetation, and perhaps gleaning, have very short and rounded wingtips, and often relatively short, broad wings, giving good manoeuvrability at low flight speeds. Many insectivorous species forage by ‘ flycatching ’ (perching while seeking prey) and have somewhat similar morphology to gleaners. Insectivorous species foraging in more open habitats usually have slightly longer wings, and hence lower cost of transport. Piscivores forage over open stretches of water, and have very long wings giving low flight power and cost of transport, and unusually long, rounded tips for control and stability in flight. Carnivores must carry heavy loads, and thus have relatively large wing areas; their foraging strategies consist of perching, hunting and gleaning, and wing structure is similar to that of insectivorous species with similar behaviour. Perching and hovering nectarivores both have a relatively small wing area: this surprising result may result from environmental pressure for a short wingspan or from the advantage of high speed during commuting flights; the large wingtips of these bats are valuable for lift generation in slow flight. The relation between flight morphology (as an indicator of flight behaviour) and echolocation is considered. It is demonstrated that adaptive trends in wing adaptations are predictably and closely paralleled by echolocation call structure, owing to the joint constraints of flying and locating food in different ways. Pressures on flight morphology depend also on size, with most aspects of performance favouring smaller animals. Power rises rapidly as mass increases; in smaller bats the available energy margin is greater than in larger species, and they may have a more generalized repertoire of flight behaviour. Trophic pressures related to feeding strategy and behaviour are also important, and may restrict the size ranges of different feeding classes: insectivores and primary nectarivores must be relatively small, carnivores and frugivores somewhat larger. The relation of these results to bat community ecology is considered, as our predictions may be tested through comparisons between comparable, sympatric species. Our mechanical predictions apply to all bats and to all kinds of bat communities, but other factors (for example echolocation) may also contribute to specialization in feeding or behaviour, and species separation may not be determined solely by wing morphology or flight behaviour. None the less, we believe that our approach, of identifying functional correlates of bat flight behaviour and identifying these with morphological adaptations, clarifies the eco-morphological relationships of bats.","1997-01","2025-02-10 20:39:55","2025-02-10 20:39:55","2025-02-10 20:39:55","335-427","","1179","316","","","Ecological morphology and flight in bats (Mammalia; Chiroptera)","","","","","","","","","","","","royalsocietypublishing.org (Atypon)","","Publisher: Royal Society","","C:\Users\rober\Zotero\storage\WLRJNP6X\Norberg et al. - 1997 - Ecological morphology and flight in bats (Mammalia; Chiroptera) wing adaptations, flight performanc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
