Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"F Cosentino, G Castiello, L Maiorano","A dataset on African bats' functional traits",2023,"Scientific Data","nature.com","https://www.nature.com/articles/s41597-023-02472-w","https://scholar.google.com/scholar?cites=5601958866775641139&as_sdt=2005&sciodt=2007&hl=en",1,"2025-01-07 12:13:53","HTML","","","",,,,,2,1.00,1,3,2,"… However, information about species-specific bat traits is often limited, especially in underdeveloped countries with limited accessibility, such as Africa, which harbors a high number of …","https://www.nature.com/articles/s41597-023-02472-w","https://scholar.google.com/scholar?q=related:MwyDrOgnvk0J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
130,"K Jung, CG Threlfall","Trait-dependent tolerance of bats to urbanization: a global meta-analysis",2018,"Proceedings of the Royal Society …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2018.1222","https://scholar.google.com/scholar?cites=13102884896736911209&as_sdt=2005&sciodt=2007&hl=en",2,"2025-01-07 12:13:53","","10.1098/rspb.2018.1222","","",,,,,130,18.57,65,2,7,"… Using a comprehensive global dataset on insectivorous bat species, combined with an extensive compilation of morphological, sensory and behavioural bat traits and phylogenetic …","https://royalsocietypublishing.org/doi/full/10.1098/rspb.2018.1222","https://scholar.google.com/scholar?q=related:aZ_VOmTM1rUJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
21,"JM Wolf, JM Jeschke, CC Voigt, ...","Urban affinity and its associated traits: A global analysis of bats",2022,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.16320","https://scholar.google.com/scholar?cites=13888485217957952729&as_sdt=2005&sciodt=2007&hl=en",3,"2025-01-07 12:13:53","","10.1111/gcb.16320","","",,,,,21,7.00,5,4,3,"Urbanization is a major contributor to the loss of biodiversity. Its rapid progress is mostly at the expense of natural ecosystems and the species inhabiting them. While some species can …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.16320","https://scholar.google.com/scholar?q=related:2bylrLjPvcAJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
1,"CA Díaz-B, A Otálora-Ardila, ...","Bat functional traits associated with environmental, landscape, and conservation variables in Neotropical dry forests",2023,"Frontiers in Forests …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/ffgc.2023.1082427/full","https://scholar.google.com/scholar?cites=14968090112144968445&as_sdt=2005&sciodt=2007&hl=en",4,"2025-01-07 12:13:53","HTML","10.3389/ffgc.2023.1082427","","",,,,,1,0.50,0,3,2,"… bat's functional traits could relate to variations in environmental conditions in tropical dry forests. In this study, we tested the hypotheses that bat functional traits … bat functional traits and …","https://www.frontiersin.org/articles/10.3389/ffgc.2023.1082427/full","https://scholar.google.com/scholar?q=related:_QpwFKdWuc8J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
23,"I Conenna, L Santini, R Rocha, ...","Global patterns of functional trait variation along aridity gradients in bats",2021,"Global Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.13278","https://scholar.google.com/scholar?cites=2179844851226462464&as_sdt=2005&sciodt=2007&hl=en",5,"2025-01-07 12:13:53","","10.1111/geb.13278","","",,,,,23,5.75,6,4,4,"… We mapped the assemblage-level averages of four key bat traits describing wing morphology, echolocation and body size, based on a grid of 100-km resolution and a pool of 915 bat …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/geb.13278","https://scholar.google.com/scholar?q=related:AEnRxlddQB4J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
29,"D Castillo-Figueroa","Why bats matters: a critical assessment of bat-mediated ecological processes in the Neotropics",2020,"european Journal of ecology","journals.ku.edu","https://journals.ku.edu/EuroJEcol/article/view/13824","https://scholar.google.com/scholar?cites=8024589522944868284&as_sdt=2005&sciodt=2007&hl=en",6,"2025-01-07 12:13:53","","","","",,,,,29,5.80,29,1,5,"… Even though there is not a formal protocol of functional traits for bats, the use of this approach could be important to establish the linkages between ecosystem functioning and bat traits. …","https://journals.ku.edu/EuroJEcol/article/download/13824/13343","https://scholar.google.com/scholar?q=related:vD9zr6cRXW8J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
2,"JA Bogoni, V Carvalho‐Rocha, PG da Silva","Spatial and land‐use determinants of bat species richness, functional diversity, and site uniqueness throughout the largest Tropical country, Brazil",2022,"Mammal Review","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mam.12279","https://scholar.google.com/scholar?cites=1782660170843903708&as_sdt=2005&sciodt=2007&hl=en",7,"2025-01-07 12:13:53","","10.1111/mam.12279","","",,,,,2,0.67,1,3,3,"… Based on the five bat traits important for ecosystem functioning (ie body mass, home range, trophic level, habitat breadth, and wing span), we calculated ‘trait distances’ between …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/mam.12279","https://scholar.google.com/scholar?q=related:3FZj_vpHvRgJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"A Monadjem, C Montauban, PW Webala, TM Laverty, ...","African bat database: curated data of occurrences, distributions and conservation metrics for sub-Saharan bats",2024,"Scientific Data","nature.com","https://www.nature.com/articles/s41597-024-04170-7","",8,"2025-01-07 12:13:53","HTML","","","",,,,,0,0.00,0,5,1,"… Furthermore, this database complements the recently published African bat traits (AfroBaT) dataset 33 . The data are released as open source and presented via an R Shiny app tool …","https://www.nature.com/articles/s41597-024-04170-7","https://scholar.google.com/scholar?q=related:UE2N3yEnk0cJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
37,"AS Winter, JJM Hathaway, JC Kimble, DC Buecher, ...","Skin and fur bacterial diversity and community structure on American southwestern bats: effects of habitat, geography and bat traits",2017,"PeerJ","peerj.com","https://peerj.com/articles/3944/","https://scholar.google.com/scholar?cites=11767154838568611665&as_sdt=2005&sciodt=2007&hl=en",9,"2025-01-07 12:13:53","HTML","","","",,,,,37,4.63,7,5,8,"Microorganisms that reside on and in mammals, such as bats, have the potential to influence their host’s health and to provide defenses against invading pathogens. However, we have …","https://peerj.com/articles/3944/","https://scholar.google.com/scholar?q=related:Ua_mCftUTaMJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
1,"AM Heckley, LR Lock, DJ Becker","A meta‐analysis exploring associations between habitat degradation and Neotropical bat virus prevalence and seroprevalence",2023,"Ecography","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ecog.07041","https://scholar.google.com/scholar?cites=13538921293500794361&as_sdt=2005&sciodt=2007&hl=en",10,"2025-01-07 12:13:53","","10.1111/ecog.07041","","",,,,,1,0.50,0,3,2,"… No bat traits that we investigated interacted with habitat degradation to impact virus outcomes, suggesting observed trends are independent of these traits. Biases in our initial dataset …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/ecog.07041","https://scholar.google.com/scholar?q=related:-UUWJS_p47sJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
