Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Hannah M. ter Hofstede, John M. Ratcliffe","Evolutionary escalation: the bat-moth arms race",2016,"Journal Of Experimental Biology","","","",1,"2025-01-07 15:15:54","Review","10.1242/jeb.086686","0022-0949","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000376878000009&DestLinkType=FullRecord&DestApp=WOS_CPL",219,11,1589,1602,0,0.00,0,2,9,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000376878000009&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"G. Cusumano, V. La Parola, A. Segreto, V. Mangano, C. Ferrigno, A. Maselli, P. Romano, T. Mineo, B. Sbarufatti, S. Campana, G. Chincarini, P. Giommi, N. Masetti, A. Moretti, G. Tagliaferri","The Palermo <i>Swift</i>-BAT hard X-ray catalogue II. Results after 39 months of sky survey",2010,"Astronomy & Astrophysics","","","",2,"2025-01-07 15:15:54","Article","10.1051/0004-6361/200811184","0004-6361","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000274305100049&DestLinkType=FullRecord&DestApp=WOS_CPL",510,,,,0,0.00,0,15,15,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000274305100049&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"Rachel V. Blakey, Elisabeth B. Webb, Dylan C. Kesler, Rodney B. Siegel, Derek Corcoran, Matthew Johnson","Bats in a changing landscape: Linking occupancy and traits of a diverse montane bat community to fire regime",2019,"Ecology And Evolution","","","",3,"2025-01-07 15:15:54","Article","10.1002/ece3.5121","2045-7758","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000467584200023&DestLinkType=FullRecord&DestApp=WOS_CPL",9,9,5324,5337,0,0.00,0,6,6,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000467584200023&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"Juliette J. Rubin, Chris A. Hamilton, Christopher J. W. McClure, Brad A. Chadwell, Akito Y. Kawahara, Jesse R. Barber","The evolution of anti-bat sensory illusions in moths",2018,"Science Advances","","","",4,"2025-01-07 15:15:54","Article","10.1126/sciadv.aar7428","2375-2548","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000443176100026&DestLinkType=FullRecord&DestApp=WOS_CPL",4,7,,,0,0.00,0,6,7,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000443176100026&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"Ara S. Winter, Jennifer J. M. Hathaway, Jason C. Kimble, Debbie C. Buecher, Ernest W. Valdez, Andrea Porras-Alfaro, Jesse M. Young, Kaitlyn J. H. Read, Diana E. Northup","Skin and fur bacterial diversity and community structure on American southwestern bats: effects of habitat, geography and bat traits",2017,"Peerj","","","",5,"2025-01-07 15:15:54","Article","10.7717/peerj.3944","2167-8359","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000413827000008&DestLinkType=FullRecord&DestApp=WOS_CPL",5,,,,0,0.00,0,9,8,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000413827000008&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"Veronica Zamora-Gutierrez, A. Nayelli Rivera-Villanueva, Santiago Martinez Balvanera, Arturo Castro-Castro, Jesus Aguirre-Gutierrez","Vulnerability of bat-plant pollination interactions due to environmental change",2021,"Global Change Biology","","","",6,"2025-01-07 15:15:54","Article","10.1111/gcb.15611","1354-1013","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000645990700001&DestLinkType=FullRecord&DestApp=WOS_CPL",27,14,3367,3382,0,0.00,0,5,4,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000645990700001&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"Irene Conenna, Luca Santini, Ricardo Rocha, Ara Monadjem, Mar Cabeza, Danilo Russo","Global patterns of functional trait variation along aridity gradients in bats",2021,"Global Ecology And Biogeography","","","",7,"2025-01-07 15:15:54","Article","10.1111/geb.13278","1466-822X","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000626300100001&DestLinkType=FullRecord&DestApp=WOS_CPL",30,5,1014,1029,0,0.00,0,6,4,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000626300100001&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"Yuval Werber, Hadar Sextin, Yossi Yovel, Nir Sapir","BATScan: A radar classification tool reveals large-scale bat migration patterns",2023,"Methods In Ecology And Evolution","","","",8,"2025-01-07 15:15:54","Article","10.1111/2041-210X.14125","2041-210X","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000999441500001&DestLinkType=FullRecord&DestApp=WOS_CPL",14,7,1764,1779,0,0.00,0,4,2,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000999441500001&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"G. Cusumano, A. Segreto, V. La Parola, A. D'Ai, N. Masetti, G. Tagliaferri","<i>SWIFT</i> OBSERVATIONS OF THE HIGH-MASS X-RAY BINARY IGR J16283-4838 UNVEIL A 288 DAY ORBITAL PERIOD",2013,"Astrophysical Journal Letters","","","",9,"2025-01-07 15:15:54","Article","10.1088/2041-8205/775/1/L25","2041-8205","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000324340500025&DestLinkType=FullRecord&DestApp=WOS_CPL",775,1,,,0,0.00,0,6,12,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000324340500025&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
0,"Morgan J. Hughes, Elizabeth C. Braun de Torrez, Eva A. Buckner, Holly K. Ober","Consumption of endemic arbovirus mosquito vectors by bats in the southeastern United States",2022,"Journal Of Vector Ecology","","","",10,"2025-01-07 15:15:54","Article","","1081-1710","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000881009300003&DestLinkType=FullRecord&DestApp=WOS_CPL",47,2,153,165,0,0.00,0,4,3,"","","https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=robertomx_api_app&SrcAuth=WosAPI&KeyUT=WOS:000881009300003&DestLinkType=RelatedRecords&DestApp=WOS_CPL"
