trait,broaderTerm,narrowerTerm,relatedTerm,valueType,expectedUnit,factorLevels,maxAllowedValue,minAllowedValue,traitDescription,comments,source,fa_y
Body mass,NA,NA,NA,numeric,g,.na,NA,NA,Based on weight,"SI, FM",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Total length,NA,NA,NA,numeric,mm,.na,NA,NA,"Measurement from the tail (if any) to the head (tail + body + head). If 
there is no tail, the measurement encompasses the lower end of the body to 
the head",FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Forearm length,NA,NA,NA,numeric,mm,.na,NA,NA,"Measurement from the base of the elbow (tip of the olecranon process) to 
the distal region of the forearm where it joins the carpus","SI, FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the third digit,NA,NA,NA,numeric,mm,.na,NA,NA,"In biological collections the trait is the result of the sum of the 
metacarpus and its three phalanges. The metacarpus is measured from the 
joint with the phalanx to the junction with the carpus. The phalanx is 
measured as the maximum distance between the joints. In the field, the 
trait is measured from the junction of the metacarpus with the carpus to 
the tip of the third phalanx","FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the fifth digit,NA,NA,NA,numeric,mm,.na,NA,NA,"In biological collections the trait is the result of the sum of the 
metacarpus and its two phalanges. The metacarpus is measured from the joint 
with the phalanx to the junction with the carpus. The phalanx is measured 
as the maximum distance between the joints. In the field, it is measured 
from the junction of the metacarpus with the carps to the tip of the second 
phalanx","FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Wing loading,NA,NA,NA,numeric,Newtons/m2,.na,NA,NA,"Wing loading (Wl) is body mass in kg times acceleration of gravity (Mg) 
divided by its wing area in m2 (S); *gravity acceleration = 9.8 m/s2; Wl = 
Mg/S (N/m2)","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Aspect ratio,NA,NA,NA,numeric,.na,.na,NA,NA,"Aspect ratio (A) is the result of the wing span squared (m2) (B) divided by 
wing area (m2) (S); A = B2/S","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Tip shape index,NA,NA,NA,numeric,.na,.na,NA,NA,"Tip shape index (I) is the tip area ratio (Ts) divided by tip length ratio 
(Tl) minus Ts; I = Ts/(Tl-Ts)","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Wing span,NA,NA,NA,numeric,mm,.na,NA,NA,"Measurement taken from tip to tip of the extended wings held along to the 
long axis of the body","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the pollex without claw,NA,NA,NA,numeric,mm,.na,NA,NA,"Measurement from the beginning of the phalanx of finger to the beginning of 
the claw","FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the pollex with claw,NA,NA,NA,numeric,mm,.na,NA,NA,"Measurement from the beginning of the phalanx of the thumb to the tip of 
the claw","FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the foot without claw,NA,NA,NA,numeric,mm,.na,NA,NA,Measurement from the joint with the tibia to the beginning of the claws,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
length of the foot with claw,NA,NA,NA,numeric,mm,.na,NA,NA,Measurement from the tibia joint to the tip of the claw,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the tibia,NA,NA,NA,numeric,mm,.na,NA,NA,Measurement from the joint with the femur to the joint with the foot,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of calcaneus,NA,NA,NA,numeric,mm,.na,NA,NA,Measure from the base of the calcaneus to the tip of it,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the ear,NA,NA,NA,numeric,mm,.na,NA,NA,Measure from the base of the ear to its most apical region,FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of tragus,NA,NA,NA,numeric,mm,.na,NA,NA,Measure from the base to the tip of the structure,FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of nose leaf,NA,NA,NA,numeric,mm,.na,NA,NA,Measurement from the base of the nasal horseshoe to the tip of the lancet,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Inner nostril width ratio,NA,NA,NA,numeric,.na,.na,NA,NA,Ratio of the cranial width to the inner nostril width,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Tail length,NA,NA,NA,numeric,Value of the trait in millimeters (mm),.na,NA,NA,Measurement from the insertion of the tail in the body to its distal end,FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Uropatagium area,NA,NA,NA,numeric,Value of the trait in area (m2),.na,NA,NA,Measurement of the surface area of the intrafemoral membrane,FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Litters per year,NA,NA,NA,numeric,Mean number of litters during a year,.na,NA,NA,Number of litters produced per year,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Litter size,NA,NA,NA,numeric,Mean number of pups per litter,.na,NA,NA,Number of pups produced per litter,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Gestation duration,NA,NA,NA,numeric,Mean days in pregnancy,.na,NA,NA,Length of the pregnancy expressed in days,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Lactation duration,NA,NA,NA,numeric,Mean days in lactation,.na,NA,NA,Length of the lactation expressed in days,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
