trait,broaderTerm,narrowerTerm,relatedTerm,valueType,expectedUnit,factorLevels,maxAllowedValue,minAllowedValue,traitDescription,comments,source,fa_y
Body mass,,,,numeric,g,.na,,,Based on weight,"SI, FM",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Total length,,,,numeric,mm,.na,,,"Measurement from the tail (if any) to the head (tail + body + head). If 
there is no tail, the measurement encompasses the lower end of the body to 
the head",FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Forearm length,,,,numeric,mm,.na,,,"Measurement from the base of the elbow (tip of the olecranon process) to 
the distal region of the forearm where it joins the carpus","SI, FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the third digit,,,,numeric,mm,.na,,,"In biological collections the trait is the result of the sum of the 
metacarpus and its three phalanges. The metacarpus is measured from the 
joint with the phalanx to the junction with the carpus. The phalanx is 
measured as the maximum distance between the joints. In the field, the 
trait is measured from the junction of the metacarpus with the carpus to 
the tip of the third phalanx","FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the fifth digit,,,,numeric,mm,.na,,,"In biological collections the trait is the result of the sum of the 
metacarpus and its two phalanges. The metacarpus is measured from the joint 
with the phalanx to the junction with the carpus. The phalanx is measured 
as the maximum distance between the joints. In the field, it is measured 
from the junction of the metacarpus with the carps to the tip of the second 
phalanx","FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Wing loading,,,,numeric,Newtons/m2,.na,,,"Wing loading (Wl) is body mass in kg times acceleration of gravity (Mg) 
divided by its wing area in m2 (S); *gravity acceleration = 9.8 m/s2; Wl = 
Mg/S (N/m2)","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Aspect ratio,,,,numeric,.na,.na,,,"Aspect ratio (A) is the result of the wing span squared (m2) (B) divided by 
wing area (m2) (S); A = B2/S","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Tip shape index,,,,numeric,.na,.na,,,"Tip shape index (I) is the tip area ratio (Ts) divided by tip length ratio 
(Tl) minus Ts; I = Ts/(Tl-Ts)","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Wing span,,,,numeric,mm,.na,,,"Measurement taken from tip to tip of the extended wings held along to the 
long axis of the body","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the pollex without claw,,,,numeric,mm,.na,,,"Measurement from the beginning of the phalanx of finger to the beginning of 
the claw","FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
