Trait type,Complex or functional dimension,Castillo-Figueroa_2021,Soria_2021,Cosentino_2023,Froidevaux_2023,Crane_2022,Myhrvold_2015,Gonçalvez_2018,Geiselman_2020,Tanalgo_2022,Wilkinson_2002,Herberstein_2022,Laurindo_2020,Barbaro_2019,Stevens_2018,Murillo-García_2018,Renner_2018,Farneda_2018,Monadjem_2018,Pereira_2018,Presley_2018,Reardon_2017,Scheiner_2017,Briones-Salas_2017,Wordley_2017,García-Morales_2016,Charbonnier_2016,Farneda_2015,Cisneros_2014,Stevens_2014,Luck_2013,Stevens_2013,Hanspach_2012,Stevens_2004,Fukui_2009,Sánchez_2017,Lucho_2017,Carrasco-Rueda_2020,Pereira_2019,Coelho_2018
Morphological,Size,Body mass,adult_mass_g,Body mass (F/M/U),BodyMass,NA,adult_body_mass_g,body_mass,NA,Body.mass (grams),NA,body mass,body mass,body mass,NA,NA,NA,body mass,mass,body mass,body mass,NA,mass,weight,NA,body weight,body mass,body mass,Mass Mean,NA,NA,NA,body mass,NA,NA,NA,NA,body mass,Weight,Weight
Morphological,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,biomass,NA,NA,NA
Morphological,Size,NA,NA,NA,NA,NA,female_body_mass_g,NA,NA,NA,"Female 
mass (g)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Size,NA,NA,NA,NA,NA,male_body_mass_g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Size,NA,NA,NA,NA,NA,no_sex_body_mass_g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,original body mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Size,Total length,adult_body_length_mm,Total length (F/M/U),NA,NA,adult_svl_cm,body_length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL = Total length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,total length,NA,NA,NA
Morphological,Size,NA,NA,NA,NA,NA,no_sex_svl_cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Size,NA,NA,Head body length (F/M/U),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Size,NA,NA,NA,NA,NA,male_svl_cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
