Trait type,Complex or functional dimension,Castillo-Figueroa_2021,Soria_2021,Cosentino_2023,Froidevaux_2023,Crane_2022,Myhrvold_2015,Gonçalvez_2018,Geiselman_2020,Tanalgo_2022,Wilkinson_2002,Herberstein_2022,Gonçalvez-Souza_2023,Laurindo_2020,Barbaro_2019,Stevens_2018,Murillo-García_2018,Renner_2018,Farneda_2018,Monadjem_2018,Pereira_2018,Presley_2018,Reardon_2017,Scheiner_2017,Briones-Salas_2017,Wordley_2017,García-Morales_2016,Charbonnier_2016,Farneda_2015,Cisneros_2014,Stevens_2014,Luck_2013,Stevens_2013,Hanspach_2012,Stevens_2004,Fukui_2009,Sánchez_2017,Lucho_2017,Carrasco-Rueda_2020,Pereira_2019,Coelho_2018
Morphological,Size,Body mass,adult_mass_g,Body mass (F/M/U),BodyMass,,adult_body_mass_g,body_mass,,Body.mass (grams),,body mass,body mass,body mass,body mass,,,,body mass,mass,body mass,body mass,,mass,weight,,body weight,body mass,body mass,Mass Mean,,,,body mass,,,,,body mass,Weight,Weight
Morphological,Size,,,,,,,,,,,,biomass,,,,,,,,,,,,,,,,,,,,,,,,,biomass,,,
Morphological,Size,,,,,,female_body_mass_g,,,,"Female 
mass (g)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,male_body_mass_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,no_sex_body_mass_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,,,,,,original body mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,Total length,adult_body_length_mm,Total length (F/M/U),,,adult_svl_cm,body_length,,,,,TL = Total length,,,,,,,,,,TL = Total length,,,,,,,,,,,,,,,total length,,,
Morphological,Size,,,,,,no_sex_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,Head body length (F/M/U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,male_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,female_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,Forearm length,adult_forearm_length_mm,Forearm length (F/M/U),ForearmLength,,,forearm,,,,,forearm length,,,forearm length,,,,,Forearm length ,forearm length,FA = Forearm length,forearm length,forearm length,forearm length,forearm size,,,Forearm length,forearm length,,forearm length,forearm length,,,,forearm length,forearm length,Size,
Morphological,Size,,,Sexual dimorphism in size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Length of the third digit,,,ThirdDigitLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Length of the fifth digit,,,FifthDigitLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Wing loading,,Wing loading (F/M/U),WingLoadingIndex,partial_wing_loading,,,,,,,wing loading,,,,,,,wing loading,Wing load,wing loading,,wing loading,,,wing loading,,,Wing loading,,,,wing loading (total body mass/wing area),,wing loading,,,wing loading,wing loading,
Morphological,Wings,,,,,total_wing_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,,,,,relative_partial_loading,,,,,,,relative wing loading,,,,,,relative wing loading,,,,,,,relative wing loading,,,relative wing loading,,,,,,,,,,,,
Morphological,Wings,,,,,relative_total_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Aspect ratio,,Wing aspect ratio (F/M/U),AspectRatioIndex,partial_aspect_ratio,,,,,,,aspect ratio,aspect ratio,,,,,aspect ratio,aspect ratio,Aspect ratio,wing aspect ratio,,Aspect ratio,,wing aspect ratio,aspect ratio,,aspect ratio,Aspect ratio,,,,aspect ratio (squared wing span/wing area),,aspect ratio,,,wing aspect ratio,aspect ratio,Aspect ratio (ratio between wing span and width)
Morphological,Wings,,,,,total_aspect_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Tip shape index,,,,,,,,,,,wingtip shape index,,,,,,,,,,,,,,,,,,,,,,,wingtip shape index,,,,,
Morphological,Wings,Wing span,,Wingspan (F/M/U),,wingspan,,,,,,,wingspan,,,,,,,,,,,,,,wingspan,,,,,,,,,,,,,,
Morphological,Wings,,,Wing length (F/M/U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,,,Wing area (F/M/U),,wing_surface_area,,,,,,,total wing area,,,,,,,,,,,,,,total wing area,,,,,,,,,,,,,,
Morphological,Wings,,,,,lifting_surface_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,,,,,wing_area_rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Pollex,Length of the pollex without claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Pollex,Length of the pollex with claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Hindlimbs,Length of the foot without claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Hindlimbs,length of the foot with claw,,Hind foot length (F/M/U),,,,,,,,,hind foot length,,,,,,,,,,,,,,,,,,,,,,,,,hind foot length,,,
Morphological,Hindlimbs,Length of the tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Hindlimbs,Length of calcaneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,Length of the ear,,,,,,,,,,,E = Ear length,,,,,,,,,,E = Ear length,,,,,,,,,,,,,,,ear length,,,
Morphological,Head,Length of tragus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
